key,english,kiswahili_for_reference,Kiembu_draft,Kiembu_corrected,ok_as_is
serverSettingsOrUseAGroupAccess,or use a group access key,au tumia ufunguo wa kikundi,kana huthira kihinguro kia gikundi,,
serverSettingsViewOnlineRecords,View Online Records,Ona Rekodi za Mtandaoni,Ona Maandiko ma Mutandao-ini,,
serverSettingsBackUpThisGroup,Back Up This Group,Hifadhi Kikundi Hiki,Iga Gikundi Giki,,
serverSettingsAccessKey,Access key,Ufunguo wa kuingia,Kihinguro,,
shareOutDistribute,Distribute,Gawanya,Gaira,,
shareOutFundToDistribute,Fund to distribute,Mfuko wa kugawanya,Mbeca cia kugayanwo,,
shareOutSplitWelfareFundEqually,Split welfare fund equally,Gawanya mfuko wa jamii sawa,Gayania muthithu wa uteithio o undu umwe,,
shareOutNothingToShareOutYet,Nothing to share out yet,Hakuna cha kugawanya bado,Gutiri kindu gia kugayanwo,,
visitAssessmentAssessment,Assessment,Tathmini,Githimi,,
visitAssessmentFormNotAvailable,Form not available,Fomu haipatikani,Fomu ndiri ho,,
visitMentorshipMentorship,Mentorship,Ushauri,Utaari,,
visitMentorshipWhatDidYouCoachOn,What did you coach on?,Ulifundisha nini?,Ni undu uriku warutire?,,
visitMentorshipTapATopicToRecord,"Tap a topic to record it, then add what you advised.","Gusa mada ili kuirekodi, kisha andika ulichoshauri.","Hutia undu niguo uwandike, ucooke wandike kiria wataarire.",,
visitMentorshipNowHandThePhoneTo,Now hand the phone to the group,Sasa mpe kikundi simu,Riu nengera gikundi thimu,,
visitMentorshipWhatYouAdvised,What you advised,Ulichoshauri,Kiria wataarire,,
agentGroupDetailRecordAVisit,Record a visit,Rekodi ziara,Andika rugendo,,
agentGroupDetailNoMembersLoaded,No members loaded.,Hakuna wanachama waliopakiwa.,Gutiri amemba marutitwo.,,
agentGroupDetailNoMeetingsLoaded,No meetings loaded.,Hakuna mikutano iliyopakiwa.,Gutiri micemanio irutitwo.,,
agentGroupDetailToImprove,To improve,Ya kuboresha,Cia kwagirithia,,
agentGroupDetailGovernance,Governance,Uongozi,Utongoria,,
agentGroupDetailVslaCompliance,VSLA compliance,Ufuataji wa kanuni za VSLA,Kurumirira mawatho ma VSLA,,
recordFineReason,Reason,Sababu,Gitumi,,
recordFineSpecifyReason,Specify reason,Eleza sababu,Taariria gitumi,,
addMemberAddMember,Add Member,Ongeza Mwanachama,Ongerera Mumemba,,
addMemberRegisterMember,Register Member,Sajili Mwanachama,Andikithia Mumemba,,
addMemberFullName,Full Name,Jina Kamili,Rietwa riothe,,
addMemberPhoneOptional,Phone (optional),Simu (si lazima),Thimu (ti bata),,
addMemberRole,Role,Nafasi,Nafathi,,
editMemberEditMember,Edit member,Badilisha mwanachama,Garura mumemba,,
editMemberFullName,Full name,Jina kamili,Rietwa riothe,,
membersRequestsToJoin,Requests to join,Maombi ya kujiunga,Mahooya ma kwiyunganiria,,
membersSearchMembers,Search members,Tafuta wanachama,Caria amemba,,
membersNoMembersFound,No members found,Hakuna mwanachama aliyepatikana,Gutiri mumemba wonekire,,
meetingSecurity3KeyUnlockBeforeMeetings,3-key unlock before meetings,Funguo 3 kabla ya mikutano,Cabi 3 mbere ya micemanio,,
meetingSecurityKeepPin,Keep PIN,Baki na PIN,Tiga PIN,,
meetingSecurityReset,Reset,Weka upya,Cookia ringi,,
agentReportCaseloadReport,Caseload Report,Ripoti ya Vikundi,Ripoti ya Ikundi,,
agentReportShareReport,Share Report,Shiriki Ripoti,Gaira Ripoti,,
agentReportNeedsSupport,Needs support,Kinahitaji msaada,Irabatara uteithio,,
agentReportNoRating,No rating,Hakuna kiwango,Gutiri githimi,,
agentReportNoGroupsYet,No groups yet,Hakuna vikundi bado,Gutiri ikundi,,
groupReportNoGroupYet,No group yet,Hakuna kikundi bado,Gutiri gikundi,,
groupReportSetUpYourGroupFirst,"Set up your group first, then come back for a report.","Sajili kikundi chako kwanza, kisha urudi kwa ripoti.","Thondeka gikundi giaku mbere, ucooke uuke kuri ripoti.",,
groupReportNoMembersYet,No members yet,Hakuna wanachama bado,Gutiri amemba,,
groupReportMembersAppearHereOnceThey,Members appear here once they join the group.,Wanachama huonekana hapa wanapojiunga na kikundi.,Amemba monekaga haha maarikia kwiyunganiria na gikundi.,,
memberReportLocalMemberReport,Member Report,Ripoti ya Mwanachama,Ripoti ya Mumemba,,
memberReportLocalMemberNotFound,Member not found,Mwanachama hakupatikana,Mumemba ndonekire,,
memberReportLocalThisMemberIsNoLonger,This member is no longer in the group.,Mwanachama huyu hayupo tena kwenye kikundi.,Mumemba uyu ndari gikundi-ini ringi.,,
memberReportLocalLoansThisMemberTakesWill,Loans this member takes will appear here.,Mikopo atakayochukua mwanachama huyu itaonekana hapa.,Mikopo iria mumemba uyu akoya niikonekaga haha.,,
externalLoanApplyApplyForALoan,Apply for a Loan,Omba Mkopo,Hooya Mukopo,,
externalLoanApplySubmitApplication,Submit Application,Wasilisha Ombi,Tuma Ihooya,,
externalLoanApplyWhatIsTheLoanFor,What is the loan for?,Mkopo ni wa nini?,Mukopo ni wa undu uriku?,,
externalLoanApplyEGBuyingMaizeSeed,e.g. Buying maize seed for the season,mfano: kununua mbegu za mahindi kwa msimu,ta: kugura mbegu cia mbembe cia kimera,,
meetingsNoMeetingsYet,No meetings yet,Hakuna mikutano bado,Gutiri micemanio,,
repaymentRecordRepayment,Record Repayment,Rekodi Marejesho,Andika Irihi,,
repaymentNoOutstandingLoansNothingTo,No outstanding loans — nothing to repay. 🎉,Hakuna mkopo unaodaiwa — hakuna cha kurejesha. 🎉,Gutiri mukopo uri na thiiri — gutiri kia kurihwo. 🎉,,
repaymentSelectLoan,Select Loan,Chagua Mkopo,Thuura Mukopo,,
moreWhoIsSignedInLanguage,"Who is signed in, language, appearance and app details","Aliyeingia, lugha, mwonekano na maelezo ya programu","Uria utoonyete, ruthiomi, muonekere na uhoro wa app",,
moreIntelliCash,Intelli-Cash,Intelli-Cash,Intelli-Cash,,
mySavingsMySavings,My Savings,Akiba Yangu,Mbeca Ciakwa,,
mySavingsOnceAGroupAcceptsYou,"Once a group accepts you, your savings will show here.","Kikundi kikikukubali, akiba yako itaonekana hapa.","Gikundi kingigwitikira, uigi waku niukonekaga haha.",,
buySharesEnterCodeByHand,Enter Code by Hand,Weka Msimbo kwa Mkono,Andika Kimenyithia na Guoko,,
buySharesRecordPurchase,Record Purchase,Rekodi Ununuzi,Andika Uguri,,
sharesLedgerNoPurchasesYet,No purchases yet,Hakuna ununuzi bado,Gutiri uguri,,
socialFundThisMeetingIsClosedThe,This meeting is closed — the record is read-only.,Mkutano huu umefungwa — rekodi ni ya kusoma tu.,Mucemanio uyu nimuhinge — maandiko no ma guthomwo tu.,,
socialFundNoMembers,No members,Hakuna wanachama,Gutiri amemba,,
socialFundAddMembersToTheGroup,Add members to the group first.,Ongeza wanachama kwenye kikundi kwanza.,Ongerera amemba gikundi-ini mbere.,,
welcomeUseTheWebConsoleFor,Use the web console for this account,Tumia tovuti kwa akaunti hii,Huthira intaneti kuri akaunti ino,,
welcomeLoadYourGroupOntoThis,Load your group onto this phone,Pakia kikundi chako kwenye simu hii,Ruta gikundi giaku thimu-ini ino,,
memberReportsTapAMemberToSee,Tap a member to see and share their report.,Gusa mwanachama ili kuona na kushiriki ripoti yake.,Hutia mumemba niguo wone na ugaire ripoti yake.,,
openActionItemsNothingOutstanding,Nothing outstanding,Hakuna lililobaki,Gutiri kiria gitigarite,,
openActionItemsThisGroupHasNoOpen,This group has no open actions from previous visits.,Kikundi hiki hakina kazi zilizobaki kutoka ziara zilizopita.,Gikundi giki gitiri na wira utigarite kuuma ngendo iria ciathirire.,,
openActionItemsFromTheLastVisit,From the last visit,Kutoka ziara iliyopita,Kuuma rugendo ruria rwa muico,,
loanDetailNoRepaymentsYet,No repayments yet,Hakuna marejesho bado,Gutiri marihi,,
attendanceAttendance,Attendance,Mahudhurio,Ukinyu,,
attendanceContinueToMeeting,Continue to Meeting,Endelea kwenye Mkutano,Thii na mbere Mucemanio-ini,,
appearanceChooseHowIntelliCashLooks,Choose how Intelli-Cash looks on this phone.,Chagua jinsi Intelli-Cash inavyoonekana kwenye simu hii.,Thuura uria Intelli-Cash ikuoneka thimu-ini ino.,,
gatewayPaymentOpenThisLinkToPay,Open this link to pay:,Fungua kiungo hiki kulipa:,Hingura kiohanio giki urihe:,,
numericKeypadDelete,Delete,Futa,Theria,,
agentHomeWhenGroupsAreAssignedToYou,"When groups are assigned to you, they appear here with their credit rating.","Vikundi vikikabidhiwa kwako, vitaonekana hapa pamoja na kiwango chao cha mkopo.","Ikundi ciangineanwo kuri we, niikonekaga haha hamwe na githimi kiao kia mukopo.",,
dashboardTheSavingsCurveAppearsAfterYour,The savings curve appears after your first two meetings.,Mchoro wa akiba huonekana baada ya mikutano yako miwili ya kwanza.,Muharo wa uigi uronekaga thutha wa micemanio yaku iiri ya mbere.,,
disburseLoanThisMemberHasNoBorrowingHeadroom,This member has no borrowing headroom — savings must grow or the current loan must reduce first.,Mwanachama huyu hana nafasi ya kukopa — akiba lazima iongezeke au mkopo wa sasa upungue kwanza.,Mumemba uyu ndari na uhoti wa kuhooya mukopo — uigi no muhaka wongerereke kana mukopo uria ari naguo unyihanyiihe mbere.,,
disburseLoanTheLoanFundIsEmptyCollect,The loan fund is empty. Collect share purchases or loan repayments before lending again.,Mfuko wa mikopo ni tupu. Kusanya ununuzi wa hisa au marejesho ya mikopo kabla ya kukopesha tena.,Muthithu wa mikopo ni utheri. Unganiria uguri wa hisa kana marihi ma mikopo mbere ya gukombithania ringi.,,
loanDetailRepaymentsAreRecordedInsideMeetingsAnd,Repayments are recorded inside meetings and appear here instantly.,Marejesho hurekodiwa ndani ya mikutano na huonekana hapa mara moja.,Marihi mandikagwo thiini wa micemanio na monekaga haha o rimwe.,,
loansLoansAreDisbursedInsideAMeeting,Loans are disbursed inside a meeting — open a meeting and use Disburse Loan.,Mikopo hutolewa ndani ya mkutano — fungua mkutano kisha tumia Toa Mkopo.,Mikopo iheanagwo thiini wa mucemanio — hingura mucemanio ucooke uhuthire Heana Mukopo.,,
gatewayPaymentRequestSentAskTheMemberTo,Request sent. Ask the member to enter their M-Pesa PIN on their phone.,Ombi limetumwa. Mwambie mwanachama aweke PIN yake ya M-Pesa kwenye simu yake.,Ihooya niriatumwo. Ira mumemba ekire PIN yake ya M-Pesa thimu-ini yake.,,
meetingHubThisMeetingIsClosedItsRecords,This meeting is closed. Its records are read-only and form part of the audit trail.,Mkutano huu umefungwa. Rekodi zake ni za kusoma tu na ni sehemu ya kumbukumbu za ukaguzi.,Mucemanio uyu nimuhinge. Maandiko maguo no ma guthomwo tu na ni gicunji kia urorio.,,
meetingHubAllRecordsInThisMeetingWill,All records in this meeting will be locked permanently. This cannot be undone.,Rekodi zote za mkutano huu zitafungwa milele. Hili haliwezi kutenguliwa.,Maandiko mothe ma mucemanio uyu nimakuhingwo nginya tene. Undu uyu ndungicookererio.,,
meetings3KeyUnlockIsOnOfficials,3-key unlock is on: officials confirm their PINs before the meeting opens.,Funguo 3 zimewashwa: viongozi huthibitisha PIN zao kabla mkutano kufunguliwa.,Cabi 3 ni ciarutithio wira: atongoria nimakuhingiria PIN ciao mbere ya mucemanio kuhingurwo.,,
meetingsStartYourFirstMeetingToRecord,"Start your first meeting to record attendance, savings, fines and loans.","Anzisha mkutano wako wa kwanza ili kurekodi mahudhurio, akiba, faini na mikopo.","Ambiriria mucemanio waku wa mbere niguo wandike ukinyu, uigi, faini na mikopo.",,
meetingsClosedMeetingsAreLockedTheirRecords,Closed meetings are locked — their records form the group\'s permanent audit trail.,Mikutano iliyofungwa imefungwa — rekodi zake ni kumbukumbu za kudumu za kikundi.,Micemanio iria ihinge ni ihingire — maandiko mayo nimo urorio wa gikundi wa nginya tene.,,
sharesLedgerSharePurchasesLandHereTheMoment,Share purchases land here the moment they are recorded.,Ununuzi wa hisa huonekana hapa mara tu unaporekodiwa.,Uguri wa hisa uronekaga haha o riria wandikwo.,,
joinGroupYourGroupHasACodeOn,Your group has a code on its records — ask the secretary if you do not know it. Sending a request does not open the group\'s books to you; an official has to accept you first.,Kikundi chako kina msimbo kwenye rekodi zake — muulize katibu kama hukijui. Kutuma ombi hakukufungulii vitabu vya kikundi; kiongozi lazima akukubali kwanza.,Gikundi giaku kiri na kimenyithia maandiko-ini makio — uria mwandiki angikoruo nduui. Gutuma ihooya gutikuhinguragira mabuku ma gikundi; mutongoria no muhaka akwitikire mbere.,,
memberPassbookAskYourGroupToAddYou,Ask your group to add you and your savings will show up here.,Omba kikundi chako kikuongeze na akiba yako itaonekana hapa.,Hooya gikundi giaku gikuongerere na uigi waku niukonekaga haha.,,
editMemberCorrectingASpellingOrAMistyped,"Correcting a spelling or a mistyped number. Their savings, loans and attendance stay exactly as they are.","Kurekebisha herufi au namba iliyokosewa. Akiba, mikopo na mahudhurio yao hubaki kama yalivyo.","Kurungiriria ndemwa kana namba iria ihititie. Uigi, mikopo na ukinyu wake utigwo o uria uri.",,
joinRequestsTheyWillNotBeAddedTo,They will not be added to the group. You can say why if you want to — it is not required.,Hataongezwa kwenye kikundi. Unaweza kueleza sababu ukitaka — si lazima.,Ndeguongererwo gikundi-ini. No woige gitumi ungienda — ti bata.,,
joinRequestsThisListIsOutOfDate,"This list is out of date. Pull down to refresh, then check the answer again.","Orodha hii si ya sasa. Vuta chini ili kuonyesha upya, kisha angalia jibu tena.","Rutaratara ruru ti rwa riu. Guucia na thi niguo rweruhio, ucooke urore macookio ringi.",,
joinRequestsWhenSomeoneAsksToJoinYour,"When someone asks to join your group, their request will show up here for you to answer.","Mtu akiomba kujiunga na kikundi chako, ombi lake litaonekana hapa ili ulijibu.","Mundu angihooya kwiyunganiria na gikundi giaku, ihooya riake nirikonekaga haha niguo uricookerie.",,
memberDetailToCreateASignInAccount,"To create a sign-in account, first back this group up to the cloud (More → Sync & Backup) while online.","Ili kutengeneza akaunti ya kuingia, kwanza hifadhi kikundi hiki kwenye wingu (Mangine → Sync & Backup) ukiwa mtandaoni.","Niguo uthondeke akaunti ya gutoonya, amba wigie gikundi giki matu-ini (Mangi → Sync & Backup) uri na intaneti.",,
memberDetailLoansThisMemberTakesWillBe,Loans this member takes will be listed here with their live status.,Mikopo atakayochukua mwanachama huyu itaorodheshwa hapa na hali yake ya sasa.,Mikopo iria mumemba uyu akoya niikwandikwo haha hamwe na uria ihaana.,,
membersAddMembersWithTheButtonBelow,Add members with the button below — each gets an individual savings and loan profile.,Ongeza wanachama kwa kitufe kilicho chini — kila mmoja hupata rekodi yake ya akiba na mikopo.,Ongerera amemba na batani iria iri na thi — o umwe agiaga na maandiko make ma uigi na mikopo.,,
meetingSecurityAssignAChairpersonSecretaryAndTreasurer,"Assign a chairperson, secretary and treasurer below so three officials can unlock meetings. Until then, most members\' PINs are needed instead.","Teua mwenyekiti, katibu na mweka hazina hapa chini ili viongozi watatu waweze kufungua mikutano. Hadi hapo, PIN za wanachama wengi ndizo zitahitajika.","Thuura mutongoria, mwandiki na muigi mbeca haha na thi niguo atongoria atatu mahote kuhingura micemanio. Nginya hindi iyo, PIN cia amemba aingi nicio ikubatarania.",,
meetingSecurityTheOldPinStopsWorkingThe,The old PIN stops working. The member chooses a new PIN the next time they turn their key at a meeting unlock.,PIN ya zamani huacha kufanya kazi. Mwanachama huchagua PIN mpya wakati mwingine atakapotumia ufunguo wake kufungua mkutano.,PIN ya tene itigaga kuruta wira. Mumemba athuuraga PIN njeru hindi iria akuhuthira cabi yake kuhingura mucemanio.,,
moreYourGroupSSavingsAndLoans,"Your group\'s savings and loans, right on your phone. Everything is saved on this phone first and backed up online when you have internet.\n\nIntelli-Wealth Limited · intelliwealth.org","Akiba na mikopo ya kikundi chako, hapo hapo kwenye simu yako. Kila kitu huhifadhiwa kwenye simu hii kwanza, kisha hufanyiwa nakala mtandaoni ukipata intaneti.

Intelli-Wealth Limited · intelliwealth.org","Uigi na mikopo ya gikundi giaku, o thimu-ini yaku. Kindu o giothe kiigagwo thimu-ini ino mbere, gicooke kiigwo intaneti-ini wagia na mutandao.

Intelli-Wealth Limited · intelliwealth.org",,
moreNoInternetYourRecordsAreSafe,No internet — your records are safe on this phone and will back up later.,Hakuna intaneti — rekodi zako ziko salama kwenye simu hii na zitahifadhiwa baadaye.,Gutiri intaneti — maandiko maku mari mugitire thimu-ini ino na nimakuigwo thutha-ini.,,
welcomeThePhoneAppIsForGroups,"The phone app is for groups, members and field agents. Your account does not need to create a group here — sign in on the web console instead, or sign out to use a different account.","Programu ya simu ni ya vikundi, wanachama na maafisa wa uwandani. Akaunti yako haihitaji kuunda kikundi hapa — ingia kwenye tovuti badala yake, au toka ili kutumia akaunti nyingine.","App ya thimu ni ya ikundi, amemba na arugamiriri a mugunda. Akaunti yaku ndibataire guthondeka gikundi haha — toonya intaneti-ini handu ha uguo, kana uma niguo uhuthire akaunti ingi.",,
welcomeYourGroupIsAlreadyOnThe,"Your group is already on the server. Load it here instead of creating a new one, so your savings history stays in one record.","Kikundi chako tayari kiko kwenye seva. Kipakie hapa badala ya kuunda kipya, ili historia ya akiba yako ibaki rekodi moja.","Gikundi giaku ni kiri cheba-ini. Kirute haha handu ha guthondeka kingi, niguo uhoro wa uigi waku utige uri handu hamwe.",,
agentReportWhenGroupsAreAssignedToYou,"When groups are assigned to you, their report appears here.","Vikundi vikikabidhiwa kwako, ripoti yake itaonekana hapa.","Ikundi ciangineanwo kuri we, ripoti yacio niyonekaga haha.",,
groupReportFiguresFromThisPhoneOnlyWork,Figures from this phone only - work saved on other phones may not be included yet.,Takwimu za simu hii pekee - kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,Namba cia thimu ino tu - wira uria uigitwo thimu ingi no ukoruo utari thiini.,,
groupReportFromThisPhoneOnlyWorkSaved,From this phone only. Work saved on other phones may not be included yet.,Kutoka simu hii pekee. Kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,Kuuma thimu ino tu. Wira uria uigitwo thimu ingi no ukoruo utari thiini.,,
memberReportLocalFiguresFromThisPhoneOnlyRecords,Figures from this phone only - records saved elsewhere may not be included yet.,Takwimu za simu hii pekee - rekodi zilizohifadhiwa kwingine huenda bado hazijajumuishwa.,Namba cia thimu ino tu - maandiko maria maigitwo kundu kungi no makoruo matari thiini.,,
mySavingsWhatYouOweIsCountedFor,What you owe is counted for each group on its own. Paying extra in one group does not reduce what you owe in another.,Deni lako huhesabiwa kwa kila kikundi peke yake. Kulipa zaidi katika kikundi kimoja hakupunguzi deni lako katika kingine.,Thiiri waku utaragwo o gikundi kiri kinyiki. Kuriha makiria gikundi-ini kimwe gutinyihagia thiiri waku gikundi-ini kingi.,,
groupSyncThisClearsTheLocalBackendMapping,This clears the local↔backend mapping. Already-synced records stay on the server; nothing is deleted.,Hii huondoa uhusiano kati ya simu na seva. Rekodi zilizokwisha sawazishwa hubaki kwenye seva; hakuna kinachofutwa.,Undu uyu niutheragia kiohanio gatagati ka thimu na cheba. Maandiko maria marikitie kuiganania matigagwo cheba-ini; gutiri kindu gigutherio.,,
groupSyncConnectToTheIntellicashBackendBefore,Connect to the IntelliCash backend before linking and syncing this group.,Unganisha kwenye seva ya IntelliCash kabla ya kuunganisha na kusawazisha kikundi hiki.,Ohania na cheba ya IntelliCash mbere ya kuohania na kuiganania gikundi giki.,,
groupSyncLinkingMatchesYourLocalMembersTo,"Linking matches your local members to the backend roster by phone, then name. Unmatched members can be linked by hand afterwards.","Kuunganisha hulinganisha wanachama wa simu hii na orodha ya seva kwa namba ya simu, kisha kwa jina. Wasiolingana wanaweza kuunganishwa kwa mkono baadaye.","Kuohania kuringithanagia amemba a thimu ino na rutaratara rwa cheba na namba ya thimu, gucooka na riitwa. Aria mataringithanie no maohanio na guoko thutha-ini.",,
groupSyncTheseLocalMembersHaveNoBackend,These local members have no backend match. Link them before their transactions can sync.,Wanachama hawa wa simu hii hawana wenzao kwenye seva. Waunganishe kabla miamala yao haijaweza kusawazishwa.,Amemba aya a thimu ino matiri aria maringaine nao cheba-ini. Maohanie mbere ya maundu mao kuiganania.,,
groupSyncUploadsAttendanceAndLedgerSharesSocial,"Uploads attendance and ledger (shares, social fund, loans, repayments) for every closed meeting. Safe to re-run — already synced records are skipped. Fines and meeting sealing come in a later phase.","Hupakia mahudhurio na daftari (hisa, mfuko wa jamii, mikopo, marejesho) kwa kila mkutano uliofungwa. Ni salama kurudia — rekodi zilizokwisha sawazishwa huachwa. Faini na kufunga mikutano huja katika hatua ijayo.","Itwaraga ukinyu na ibuku (hisa, muthithu wa uteithio, mikopo, marihi) ria o mucemanio uria uhinge. Ni mwega gucookera — maandiko maria marikitie kuiganania nimatigagwo. Faini na kuhinga micemanio ikinyaga thutha-ini.",,
serverSettingsAskYourGroupAdministratorForAn,"Ask your group administrator for an access key, then paste it here. It only lets this phone see and record your group\'s savings, loans and meetings.","Omba msimamizi wa kikundi chako ufunguo wa kuingia, kisha ubandike hapa. Unaruhusu simu hii kuona na kurekodi akiba, mikopo na mikutano ya kikundi chako tu.","Hooya murori wa gikundi giaku kihinguro, ucooke ugikire haha. Kirekagiria thimu ino kuona na kwandika uigi, mikopo na micemanio ya gikundi giaku tu.",,
cyclesPullDownToTryAgainIf,"Pull down to try again. If it keeps happening, check the group is still selected under Cloud Account.","Vuta chini ujaribu tena. Ikiendelea, hakikisha kikundi bado kimechaguliwa chini ya Akaunti ya Wingu.","Guucia na thi ugerie ringi. Ungithii na mbere, rora kana gikundi no kithuuritwo hari Akaunti ya Matu.",,
cyclesClosingACycleMakesItsRecords,Closing a cycle makes its records read-only. Nothing is deleted — past meetings and money stay in history and reports.,Kufunga mzunguko hufanya rekodi zake ziwe za kusoma tu. Hakuna kinachofutwa — mikutano na fedha zilizopita hubaki kwenye historia na ripoti.,Kuhinga muthiururuko gutumaga maandiko maguo makoruo ma guthomwo tu. Gutiri kindu gigutherio — micemanio na mbeca cia tene itigagwo uhoro-ini na ripoti-ini.,,
cyclesYouCanSeeTheCyclesBut,You can see the cycles but not close one. Only the group account or a platform admin can.,Unaweza kuona mizunguko lakini huwezi kufunga. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,No wone mithiururuko no ndungihota kuhinga. Ni akaunti ya gikundi kana murori wa kioneki tu ungihota.,,
groupPolicyAppliesToNewLoansLoansAlready,Applies to new loans. Loans already given keep the term they were agreed with — changing this never changes what a member already owes.,Hutumika kwa mikopo mipya. Mikopo iliyokwisha tolewa hubaki na muda iliokubaliwa — kubadilisha hili hakubadilishi deni la mwanachama.,Uhuthikaga hari mikopo mieru. Mikopo iria irikitie kuheanwo itigagwo na ihinda riria rietikaniirio — kugarura undu uyu gutigaruraga thiiri uria mumemba ari naguo.,,
groupPolicyFlatOnTheAmountBorrowedEach,"Flat on the amount borrowed each month — it does not fall as the member repays, and it stops at the end of the agreed term. Zero is fine: many groups lend interest-free. Each loan keeps the rate it was made at, so changing this never reprices money already lent.","Ni kiwango kimoja juu ya kiasi kilichokopwa kila mwezi — hakipungui mwanachama anapolipa, na huisha mwisho wa muda uliokubaliwa. Sifuri ni sawa: vikundi vingi hukopesha bila riba. Kila mkopo hubaki na riba uliotolewa nayo, kwa hivyo kubadilisha hili hakubadilishi fedha zilizokwisha kopeshwa.","Ni githimi kimwe hari mbeca iria ciakombirwo o mweri — gitinyihanyiihaga mumemba akiriha, na githiraga muthia wa ihinda riria rietikaniirio. Naili ni wega: ikundi nyingi ikombithanagia hatari ucuuthi. O mukopo utigagwo na ucuuthi uria waheanirwo naguo, ni undu ucio kugarura undu uyu gutigaruraga mbeca iria ciarikitie gukombithanio.",,
groupPolicyYouCanSeeTheseRulesBut,You can see these rules but not change them. Only the group account or a platform admin can.,Unaweza kuona sheria hizi lakini huwezi kuzibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,No wone mawatho maya no ndungihota kumagarura. Ni akaunti ya gikundi kana murori wa kioneki tu ungihota.,,
groupPolicyUnpaidFinesAndWelfareAreTaken,Unpaid fines and welfare are taken off a member\'s share-out payout — they never stop a member from sharing out.\n\nOutstanding loans are taken off at share-out and are never carried into the next cycle.,"Faini na michango ya jamii ambayo haijalipwa hukatwa kwenye mgao wa mwanachama — kamwe hazimzuii mwanachama kushiriki mgao.

Mikopo ambayo haijalipwa hukatwa wakati wa mgao na kamwe haipelekwi mzunguko unaofuata.","Faini na mbeca cia uteithio iria itarihitwo iruthagio kuuma kigayo-ini kia mumemba — itingigiria mumemba kugayana.

Mikopo iria itarihitwo iruthagio hindi ya kugayana na nditwaragwo muthiururuko-ini uria ungi.",,
paymentProvidersMPesaClassicNeedsNothingHere,M-Pesa Classic needs nothing here — the member types in the transaction code from their phone.,M-Pesa Classic haihitaji chochote hapa — mwanachama huandika msimbo wa muamala kutoka simu yake.,M-Pesa Classic ndibataire kindu haha — mumemba niwe wandikaga kimenyithia kia muamala kuuma thimu-ini yake.,,
paymentProvidersYouCanSeeThisButNot,You can see this but not change it. Only the group account or a platform admin can move where money is received.,Unaweza kuona hili lakini huwezi kulibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza kuhamisha mahali fedha zinapopokelewa.,No wone undu uyu no ndungihota kuugarura. Ni akaunti ya gikundi kana murori wa kioneki tu ungihota kugarura haria mbeca ciamukiragirwo.,,
welfareYouAreOfflineWelfarePaymentsAre,You are offline. Welfare payments are recorded on the server so the fund cannot be overspent by two phones at once — reconnect to record one.,Huna mtandao. Malipo ya jamii hurekodiwa kwenye seva ili mfuko usitumike kupita kiasi na simu mbili kwa wakati mmoja — unganisha ili kurekodi.,Nduri na mutandao. Marihi ma uteithio mandikagwo cheba-ini niguo muthithu ndukahuthirwo makiria ni thimu igiri hamwe — ohania niguo wandike.,,
welfareNoMeetingIsOpenWelfareIs,"No meeting is open. Welfare is paid out during a meeting, in front of the members — open one first, then record it there.","Hakuna mkutano ulio wazi. Fedha za jamii hulipwa wakati wa mkutano, mbele ya wanachama — fungua mkutano kwanza, kisha rekodi hapo.","Gutiri mucemanio uhingure. Mbeca cia uteithio irihagwo hindi ya mucemanio, mbere ya amemba — hingura mucemanio mbere, ucooke wandike ho.",,
shareOutMembersHavenTBoughtSharesThis,"Members haven\'t bought shares this cycle. Run meetings and collect shares first, then come back to distribute the fund.","Wanachama hawajanunua hisa mzunguko huu. Endesha mikutano na kusanya hisa kwanza, kisha urudi kugawanya mfuko.","Amemba matigurite hisa muthiururuko-ini uyu. Rutithia micemanio na uunganirie hisa mbere, ucooke uuke kugayana mbeca.",,
externalLoanApplyCreditRatingUnavailableTheLenderChecks,Credit rating unavailable — the lender checks it when reviewing your application.,Kiwango cha mkopo hakipatikani — mkopeshaji hukiangalia anapopitia ombi lako.,Githimi kia mukopo gitiri ho — mukombithania niwe ugiroraga akirora ihooya riaku.,,
externalLoansCheckBackLaterPartnersAddNew,Check back later — partners add new loan offers from time to time.,Rudi baadaye — washirika huongeza mikopo mipya mara kwa mara.,Cooka thutha-ini — athiritu mongereragira mikopo mieru hindi na hindi.,,
externalLoansExternalLoansLoadFromTheIntelli,External loans load from the Intelli-Cash backend. Connect or sign in first.,Mikopo ya nje hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,Mikopo ya nja irutagwo cheba-ini ya Intelli-Cash. Ohania kana utoonye mbere.,,
storeFarmSolarHouseholdAndBusinessProducts,"Farm, solar, household and business products — priced by your group\'s credit rating.","Bidhaa za shamba, sola, nyumbani na biashara — bei kulingana na kiwango cha mkopo cha kikundi chako.","Indo cia mugunda, riua, nyumba na wonjoria — thogora kuringana na githimi kia mukopo kia gikundi giaku.",,
