key,english,kiswahili_for_reference,Gikuyu_translation
welcomeThePhoneAppIsForGroups,"The phone app is for groups, members and field agents. Your account does not need to create a group here — sign in on the web console instead, or sign out to use a different account.","Programu ya simu ni ya vikundi, wanachama na maafisa wa uwandani. Akaunti yako haihitaji kuunda kikundi hapa — ingia kwenye tovuti badala yake, au toka ili kutumia akaunti nyingine.",
welcomeYourGroupIsAlreadyOnThe,"Your group is already on the server. Load it here instead of creating a new one, so your savings history stays in one record.","Kikundi chako tayari kiko kwenye seva. Kipakie hapa badala ya kuunda kipya, ili historia ya akiba yako ibaki rekodi moja.",
agentReportWhenGroupsAreAssignedToYou,"When groups are assigned to you, their report appears here.","Vikundi vikikabidhiwa kwako, ripoti yake itaonekana hapa.",
groupReportFiguresFromThisPhoneOnlyWork,Figures from this phone only - work saved on other phones may not be included yet.,Takwimu za simu hii pekee - kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,
groupReportFromThisPhoneOnlyWorkSaved,From this phone only. Work saved on other phones may not be included yet.,Kutoka simu hii pekee. Kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,
memberReportLocalFiguresFromThisPhoneOnlyRecords,Figures from this phone only - records saved elsewhere may not be included yet.,Takwimu za simu hii pekee - rekodi zilizohifadhiwa kwingine huenda bado hazijajumuishwa.,
mySavingsWhatYouOweIsCountedFor,What you owe is counted for each group on its own. Paying extra in one group does not reduce what you owe in another.,Deni lako huhesabiwa kwa kila kikundi peke yake. Kulipa zaidi katika kikundi kimoja hakupunguzi deni lako katika kingine.,
groupSyncThisClearsTheLocalBackendMapping,This clears the local↔backend mapping. Already-synced records stay on the server; nothing is deleted.,Hii huondoa uhusiano kati ya simu na seva. Rekodi zilizokwisha sawazishwa hubaki kwenye seva; hakuna kinachofutwa.,
groupSyncConnectToTheIntellicashBackendBefore,Connect to the IntelliCash backend before linking and syncing this group.,Unganisha kwenye seva ya IntelliCash kabla ya kuunganisha na kusawazisha kikundi hiki.,
groupSyncLinkingMatchesYourLocalMembersTo,"Linking matches your local members to the backend roster by phone, then name. Unmatched members can be linked by hand afterwards.","Kuunganisha hulinganisha wanachama wa simu hii na orodha ya seva kwa namba ya simu, kisha kwa jina. Wasiolingana wanaweza kuunganishwa kwa mkono baadaye.",
groupSyncTheseLocalMembersHaveNoBackend,These local members have no backend match. Link them before their transactions can sync.,Wanachama hawa wa simu hii hawana wenzao kwenye seva. Waunganishe kabla miamala yao haijaweza kusawazishwa.,
groupSyncUploadsAttendanceAndLedgerSharesSocial,"Uploads attendance and ledger (shares, social fund, loans, repayments) for every closed meeting. Safe to re-run — already synced records are skipped. Fines and meeting sealing come in a later phase.","Hupakia mahudhurio na daftari (hisa, mfuko wa jamii, mikopo, marejesho) kwa kila mkutano uliofungwa. Ni salama kurudia — rekodi zilizokwisha sawazishwa huachwa. Faini na kufunga mikutano huja katika hatua ijayo.",
serverSettingsAskYourGroupAdministratorForAn,"Ask your group administrator for an access key, then paste it here. It only lets this phone see and record your group\'s savings, loans and meetings.","Omba msimamizi wa kikundi chako ufunguo wa kuingia, kisha ubandike hapa. Unaruhusu simu hii kuona na kurekodi akiba, mikopo na mikutano ya kikundi chako tu.",
cyclesPullDownToTryAgainIf,"Pull down to try again. If it keeps happening, check the group is still selected under Cloud Account.","Vuta chini ujaribu tena. Ikiendelea, hakikisha kikundi bado kimechaguliwa chini ya Akaunti ya Wingu.",
cyclesClosingACycleMakesItsRecords,Closing a cycle makes its records read-only. Nothing is deleted — past meetings and money stay in history and reports.,Kufunga mzunguko hufanya rekodi zake ziwe za kusoma tu. Hakuna kinachofutwa — mikutano na fedha zilizopita hubaki kwenye historia na ripoti.,
cyclesYouCanSeeTheCyclesBut,You can see the cycles but not close one. Only the group account or a platform admin can.,Unaweza kuona mizunguko lakini huwezi kufunga. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,
groupPolicyAppliesToNewLoansLoansAlready,Applies to new loans. Loans already given keep the term they were agreed with — changing this never changes what a member already owes.,Hutumika kwa mikopo mipya. Mikopo iliyokwisha tolewa hubaki na muda iliokubaliwa — kubadilisha hili hakubadilishi deni la mwanachama.,
groupPolicyFlatOnTheAmountBorrowedEach,"Flat on the amount borrowed each month — it does not fall as the member repays, and it stops at the end of the agreed term. Zero is fine: many groups lend interest-free. Each loan keeps the rate it was made at, so changing this never reprices money already lent.","Ni kiwango kimoja juu ya kiasi kilichokopwa kila mwezi — hakipungui mwanachama anapolipa, na huisha mwisho wa muda uliokubaliwa. Sifuri ni sawa: vikundi vingi hukopesha bila riba. Kila mkopo hubaki na riba uliotolewa nayo, kwa hivyo kubadilisha hili hakubadilishi fedha zilizokwisha kopeshwa.",
groupPolicyYouCanSeeTheseRulesBut,You can see these rules but not change them. Only the group account or a platform admin can.,Unaweza kuona sheria hizi lakini huwezi kuzibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,
groupPolicyUnpaidFinesAndWelfareAreTaken,Unpaid fines and welfare are taken off a member\'s share-out payout — they never stop a member from sharing out.\n\nOutstanding loans are taken off at share-out and are never carried into the next cycle.,"Faini na michango ya jamii ambayo haijalipwa hukatwa kwenye mgao wa mwanachama — kamwe hazimzuii mwanachama kushiriki mgao.

Mikopo ambayo haijalipwa hukatwa wakati wa mgao na kamwe haipelekwi mzunguko unaofuata.",
paymentProvidersMPesaClassicNeedsNothingHere,M-Pesa Classic needs nothing here — the member types in the transaction code from their phone.,M-Pesa Classic haihitaji chochote hapa — mwanachama huandika msimbo wa muamala kutoka simu yake.,
paymentProvidersYouCanSeeThisButNot,You can see this but not change it. Only the group account or a platform admin can move where money is received.,Unaweza kuona hili lakini huwezi kulibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza kuhamisha mahali fedha zinapopokelewa.,
welfareYouAreOfflineWelfarePaymentsAre,You are offline. Welfare payments are recorded on the server so the fund cannot be overspent by two phones at once — reconnect to record one.,Huna mtandao. Malipo ya jamii hurekodiwa kwenye seva ili mfuko usitumike kupita kiasi na simu mbili kwa wakati mmoja — unganisha ili kurekodi.,
welfareNoMeetingIsOpenWelfareIs,"No meeting is open. Welfare is paid out during a meeting, in front of the members — open one first, then record it there.","Hakuna mkutano ulio wazi. Fedha za jamii hulipwa wakati wa mkutano, mbele ya wanachama — fungua mkutano kwanza, kisha rekodi hapo.",
shareOutMembersHavenTBoughtSharesThis,"Members haven\'t bought shares this cycle. Run meetings and collect shares first, then come back to distribute the fund.","Wanachama hawajanunua hisa mzunguko huu. Endesha mikutano na kusanya hisa kwanza, kisha urudi kugawanya mfuko.",
externalLoanApplyCreditRatingUnavailableTheLenderChecks,Credit rating unavailable — the lender checks it when reviewing your application.,Kiwango cha mkopo hakipatikani — mkopeshaji hukiangalia anapopitia ombi lako.,
externalLoansCheckBackLaterPartnersAddNew,Check back later — partners add new loan offers from time to time.,Rudi baadaye — washirika huongeza mikopo mipya mara kwa mara.,
externalLoansExternalLoansLoadFromTheIntelli,External loans load from the Intelli-Cash backend. Connect or sign in first.,Mikopo ya nje hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,
storeFarmSolarHouseholdAndBusinessProducts,"Farm, solar, household and business products — priced by your group\'s credit rating.","Bidhaa za shamba, sola, nyumbani na biashara — bei kulingana na kiwango cha mkopo cha kikundi chako.",
storeIntelliStoresLoadsFromTheIntelli,Intelli-Stores loads from the Intelli-Cash backend. Connect or sign in first.,Intelli-Stores hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,
businessProfileTheGroupSOwnEnterpriseNot,"The group\'s own enterprise, not a member\'s. Leave blank if they do not run one.","Biashara ya kikundi chenyewe, si ya mwanachama. Acha wazi kama hawana.",
businessProfileThisVisitHasNotSyncedYet,"This visit has not synced yet, so the figures are saved against the group but not against this visit.","Ziara hii bado haijasawazishwa, kwa hivyo takwimu zimehifadhiwa kwa kikundi lakini si kwa ziara hii.",
businessProfileSavedAgainstThisVisitSoNext,"Saved against this visit, so next time you can see what changed.","Imehifadhiwa kwa ziara hii, ili wakati ujao uone kilichobadilika.",
recordVisitAVisitCanStillBeRecorded,"A visit can still be recorded without a location. Whether it matches this group is decided by the office, not here.","Ziara bado inaweza kurekodiwa bila mahali. Kama inalingana na kikundi hiki huamuliwa na ofisi, si hapa.",
recordVisitRecordWhatYouCoachedOnThen,"Record what you coached on, then let the group score it.","Rekodi ulichofundisha, kisha waache kikundi kikipime.",
visitAssessmentNoAssessmentFormHasBeenDownloaded,"No assessment form has been downloaded yet. Connect once to fetch it, then it works offline.","Hakuna fomu ya tathmini iliyopakuliwa bado. Unganisha mara moja ili kuipata, kisha itafanya kazi bila mtandao.",
visitMentorshipNotScoredYetAVisitCan,"Not scored yet. A visit can be recorded without it, but the group\'s view is the only useful measure of the coaching.","Bado haijapimwa. Ziara inaweza kurekodiwa bila hii, lakini maoni ya kikundi ndiyo kipimo pekee muhimu cha ushauri.",
createPollNoMembersLoadedForThisGroup,No members loaded for this group yet. Connect and open the group first.,Hakuna wanachama waliopakiwa kwa kikundi hiki bado. Unganisha na ufungue kikundi kwanza.,
createPollNobodySeesWhoVotedForWhat,Nobody sees who voted for what. The counts are still shown to everyone.,Hakuna anayeona nani alipiga kura kwa nini. Idadi bado huonyeshwa kwa kila mtu.,
pollDetailNoMoreVotesCanBeCast,"No more votes can be cast after this, and the result is written into the group records. This cannot be undone.","Hakuna kura zaidi zitakazopigwa baada ya hii, na matokeo huandikwa kwenye rekodi za kikundi. Hili haliwezi kutenguliwa.",
pollDetailClosingCountsTheVotesAndWrites,Closing counts the votes and writes the result into the group records.,Kufunga huhesabu kura na kuandika matokeo kwenye rekodi za kikundi.,
pollDetailYouHaveVotedThisIsA,"You have voted. This is a secret ballot, so your choice is not shown to anyone.","Umepiga kura. Hii ni kura ya siri, kwa hivyo chaguo lako halionyeshwi kwa mtu yeyote.",
pollsElectYourLeadersAndDecideTogether,"Elect your leaders and decide together. One member, one vote.","Chagua viongozi wenu na muamue pamoja. Mwanachama mmoja, kura moja.",
pollsTapNewVoteToElectA,Tap New Vote to elect a leader or put a question to the group.,Gusa Kura Mpya ili kuchagua kiongozi au kuuliza kikundi swali.,
pollsVotingIsKeptOnTheIntelli,Voting is kept on the Intelli-Cash backend so every member sees the same tally. Connect or sign in first.,Kura huhifadhiwa kwenye seva ya Intelli-Cash ili kila mwanachama aone idadi ile ile. Unganisha au ingia kwanza.,
unlockOpensWhen,The meeting opens when {officials} officials — or {members} members — each turn their key.,Mkutano hufunguliwa viongozi {officials} — au wanachama {members} — wanapotumia funguo zao.,
paymentProvidersStillNeeded,Not finished — still needed: {fields}. Until then money still goes to the platform account.,Haijakamilika — bado inahitajika: {fields}. Hadi hapo fedha bado huenda kwenye akaunti ya jukwaa.,
welfareSharedOutExplainer,This is what gets shared out at the end of the cycle — not the total contributed. {paidOut} has been paid out so far.,Hiki ndicho kitakachogawanywa mwisho wa mzunguko — si jumla iliyochangwa. {paidOut} imelipwa hadi sasa.,
shareOutStartsNextCycle,"This records every payout, settles outstanding loans, and starts Cycle {cycle}. It cannot be undone.","Hii hurekodi kila malipo, humaliza mikopo iliyobaki, na huanzisha Mzunguko {cycle}. Haiwezi kutenguliwa.",
visitAssessmentPhotoCapReached,This visit already has {max} photos.,Ziara hii tayari ina picha {max}.,
