key,english,kiswahili_for_reference,Dholuo_draft,Dholuo_corrected,ok_as_is
visitAssessmentFormNotAvailable,Form not available,Fomu haipatikani,Fom ok yudre,,
visitMentorshipMentorship,Mentorship,Ushauri,Puonj,,
visitMentorshipWhatDidYouCoachOn,What did you coach on?,Ulifundisha nini?,Ne ipuonjo kuom angʼo?,,
visitMentorshipTapATopicToRecord,"Tap a topic to record it, then add what you advised.","Gusa mada ili kuirekodi, kisha andika ulichoshauri.","Mul wach mondo indike, eka imed gima ne ingʼado.",,
visitMentorshipNowHandThePhoneTo,Now hand the phone to the group,Sasa mpe kikundi simu,Koro mi riwruok simu,,
visitMentorshipWhatYouAdvised,What you advised,Ulichoshauri,Gima ne ingʼado,,
agentGroupDetailRecordAVisit,Record a visit,Rekodi ziara,Ndik limbe,,
agentGroupDetailNoMembersLoaded,No members loaded.,Hakuna wanachama waliopakiwa.,Onge jomembe moyudi.,,
agentGroupDetailNoMeetingsLoaded,No meetings loaded.,Hakuna mikutano iliyopakiwa.,Onge chokruoge moyudi.,,
agentGroupDetailToImprove,To improve,Ya kuboresha,Mag medo ber,,
agentGroupDetailGovernance,Governance,Uongozi,Telo,,
agentGroupDetailVslaCompliance,VSLA compliance,Ufuataji wa kanuni za VSLA,Luwo chike mag VSLA,,
recordFineReason,Reason,Sababu,Gimomiyo,,
recordFineSpecifyReason,Specify reason,Eleza sababu,Ler gimomiyo,,
addMemberAddMember,Add Member,Ongeza Mwanachama,Med Jamembe,,
addMemberRegisterMember,Register Member,Sajili Mwanachama,Ndik Jamembe,,
addMemberFullName,Full Name,Jina Kamili,Nying Machielo Duto,,
addMemberPhoneOptional,Phone (optional),Simu (si lazima),Simu (ok ochuno),,
addMemberRole,Role,Nafasi,Kar tich,,
editMemberEditMember,Edit member,Badilisha mwanachama,Lok jamembe,,
editMemberFullName,Full name,Jina kamili,Nying machielo duto,,
membersRequestsToJoin,Requests to join,Maombi ya kujiunga,Kwayo mar donjo,,
membersSearchMembers,Search members,Tafuta wanachama,Many jomembe,,
membersNoMembersFound,No members found,Hakuna mwanachama aliyepatikana,Onge jamembe moyudi,,
meetingSecurity3KeyUnlockBeforeMeetings,3-key unlock before meetings,Funguo 3 kabla ya mikutano,Rayaw 3 kapok chokruok ochakore,,
meetingSecurityKeepPin,Keep PIN,Baki na PIN,We PIN,,
meetingSecurityReset,Reset,Weka upya,Chak kendo,,
agentReportCaseloadReport,Caseload Report,Ripoti ya Vikundi,Ripot mar Riwruoge,,
agentReportShareReport,Share Report,Shiriki Ripoti,Pog Ripot,,
agentReportNeedsSupport,Needs support,Kinahitaji msaada,Dwaro kony,,
agentReportNoRating,No rating,Hakuna kiwango,Onge pim,,
agentReportNoGroupsYet,No groups yet,Hakuna vikundi bado,Onge riwruoge pod,,
groupReportNoGroupYet,No group yet,Hakuna kikundi bado,Onge riwruok pod,,
groupReportSetUpYourGroupFirst,"Set up your group first, then come back for a report.","Sajili kikundi chako kwanza, kisha urudi kwa ripoti.","Los riwruok mari mokwongo, eka iduogi ne ripot.",,
groupReportNoMembersYet,No members yet,Hakuna wanachama bado,Onge jomembe pod,,
groupReportMembersAppearHereOnceThey,Members appear here once they join the group.,Wanachama huonekana hapa wanapojiunga na kikundi.,Jomembe nenore ka bangʼ donjo e riwruok.,,
memberReportLocalMemberReport,Member Report,Ripoti ya Mwanachama,Ripot mar Jamembe,,
memberReportLocalMemberNotFound,Member not found,Mwanachama hakupatikana,Jamembe ok oyudi,,
memberReportLocalThisMemberIsNoLonger,This member is no longer in the group.,Mwanachama huyu hayupo tena kwenye kikundi.,Jamembeni koro onge e riwruok.,,
memberReportLocalLoansThisMemberTakesWill,Loans this member takes will appear here.,Mikopo atakayochukua mwanachama huyu itaonekana hapa.,Hola ma jamembeni biro kawo nonenre ka.,,
externalLoanApplyApplyForALoan,Apply for a Loan,Omba Mkopo,Kwa Hola,,
externalLoanApplySubmitApplication,Submit Application,Wasilisha Ombi,Or Kwayo,,
externalLoanApplyWhatIsTheLoanFor,What is the loan for?,Mkopo ni wa nini?,Hola en mar angʼo?,,
externalLoanApplyEGBuyingMaizeSeed,e.g. Buying maize seed for the season,mfano: kununua mbegu za mahindi kwa msimu,kaka: ngʼiewo kodhi mar oduma mar ndalo mar pur,,
meetingsNoMeetingsYet,No meetings yet,Hakuna mikutano bado,Onge chokruoge pod,,
repaymentRecordRepayment,Record Repayment,Rekodi Marejesho,Ndik Chulo,,
repaymentNoOutstandingLoansNothingTo,No outstanding loans — nothing to repay. 🎉,Hakuna mkopo unaodaiwa — hakuna cha kurejesha. 🎉,Onge hola modongʼ — onge gima ichulo. 🎉,,
repaymentSelectLoan,Select Loan,Chagua Mkopo,Yier Hola,,
moreWhoIsSignedInLanguage,"Who is signed in, language, appearance and app details","Aliyeingia, lugha, mwonekano na maelezo ya programu","Ngʼama odonjo, dhok, kite monenore kod weche mag app",,
moreIntelliCash,Intelli-Cash,Intelli-Cash,Intelli-Cash,,
mySavingsMySavings,My Savings,Akiba Yangu,Pesa Maga Mokan,,
mySavingsOnceAGroupAcceptsYou,"Once a group accepts you, your savings will show here.","Kikundi kikikukubali, akiba yako itaonekana hapa.","Ka riwruok orwaki, pesa mokan magi biro nenore ka.",,
buySharesEnterCodeByHand,Enter Code by Hand,Weka Msimbo kwa Mkono,Ket Rangʼiny gi Lweti,,
buySharesRecordPurchase,Record Purchase,Rekodi Ununuzi,Ndik Ngʼiewo,,
sharesLedgerNoPurchasesYet,No purchases yet,Hakuna ununuzi bado,Onge ngʼiewo pod,,
socialFundThisMeetingIsClosedThe,This meeting is closed — the record is read-only.,Mkutano huu umefungwa — rekodi ni ya kusoma tu.,Chokruokni olor — ndiko gin mag somo kende.,,
socialFundNoMembers,No members,Hakuna wanachama,Onge jomembe,,
socialFundAddMembersToTheGroup,Add members to the group first.,Ongeza wanachama kwenye kikundi kwanza.,Med jomembe e riwruok mokwongo.,,
welcomeUseTheWebConsoleFor,Use the web console for this account,Tumia tovuti kwa akaunti hii,Ti gi intanet ne akauntni,,
welcomeLoadYourGroupOntoThis,Load your group onto this phone,Pakia kikundi chako kwenye simu hii,Kel riwruok mari e simu ni,,
memberReportsTapAMemberToSee,Tap a member to see and share their report.,Gusa mwanachama ili kuona na kushiriki ripoti yake.,Mul jamembe mondo ine kendo ipog ripot mare.,,
openActionItemsNothingOutstanding,Nothing outstanding,Hakuna lililobaki,Onge gima odongʼ,,
openActionItemsThisGroupHasNoOpen,This group has no open actions from previous visits.,Kikundi hiki hakina kazi zilizobaki kutoka ziara zilizopita.,Riwruokni onge gi tije modongʼ moa e limbe mokalo.,,
openActionItemsFromTheLastVisit,From the last visit,Kutoka ziara iliyopita,Moa e limbe mogik,,
loanDetailNoRepaymentsYet,No repayments yet,Hakuna marejesho bado,Onge chulo pod,,
attendanceAttendance,Attendance,Mahudhurio,Bedo e chokruok,,
attendanceContinueToMeeting,Continue to Meeting,Endelea kwenye Mkutano,Dhi Nyime e Chokruok,,
appearanceChooseHowIntelliCashLooks,Choose how Intelli-Cash looks on this phone.,Chagua jinsi Intelli-Cash inavyoonekana kwenye simu hii.,Yier kaka Intelli-Cash nenore e simu ni.,,
gatewayPaymentOpenThisLinkToPay,Open this link to pay:,Fungua kiungo hiki kulipa:,Yaw tudruokni mondo ichul:,,
numericKeypadDelete,Delete,Futa,Ruch,,
agentHomeWhenGroupsAreAssignedToYou,"When groups are assigned to you, they appear here with their credit rating.","Vikundi vikikabidhiwa kwako, vitaonekana hapa pamoja na kiwango chao cha mkopo.","Ka riwruoge omiyi, ginenore ka kaachiel gi pim mar hola mag-gi.",,
dashboardTheSavingsCurveAppearsAfterYour,The savings curve appears after your first two meetings.,Mchoro wa akiba huonekana baada ya mikutano yako miwili ya kwanza.,Kido mar pesa mokan nenore bangʼ chokruoge ariyo mokwongo.,,
disburseLoanThisMemberHasNoBorrowingHeadroom,This member has no borrowing headroom — savings must grow or the current loan must reduce first.,Mwanachama huyu hana nafasi ya kukopa — akiba lazima iongezeke au mkopo wa sasa upungue kwanza.,Jamembeni onge gi thuolo mar holo — pesa mokan nyaka medre kata hola ma en-go nyaka dok piny mokwongo.,,
disburseLoanTheLoanFundIsEmptyCollect,The loan fund is empty. Collect share purchases or loan repayments before lending again.,Mfuko wa mikopo ni tupu. Kusanya ununuzi wa hisa au marejesho ya mikopo kabla ya kukopesha tena.,Sanduk mar hola onge gimoro. Chok ngʼiewo mar hisa kata chulo mar hola kapok ichako holo kendo.,,
loanDetailRepaymentsAreRecordedInsideMeetingsAnd,Repayments are recorded inside meetings and appear here instantly.,Marejesho hurekodiwa ndani ya mikutano na huonekana hapa mara moja.,Chulo indiko e chokruoge kendo nenore ka gisano.,,
loansLoansAreDisbursedInsideAMeeting,Loans are disbursed inside a meeting — open a meeting and use Disburse Loan.,Mikopo hutolewa ndani ya mkutano — fungua mkutano kisha tumia Toa Mkopo.,Hola ichiwo e chokruok — yaw chokruok eka iti gi Chiw Hola.,,
gatewayPaymentRequestSentAskTheMemberTo,Request sent. Ask the member to enter their M-Pesa PIN on their phone.,Ombi limetumwa. Mwambie mwanachama aweke PIN yake ya M-Pesa kwenye simu yake.,Kwayo oor. Kwa jamembe mondo oket PIN mare mar M-Pesa e simu mare.,,
meetingHubThisMeetingIsClosedItsRecords,This meeting is closed. Its records are read-only and form part of the audit trail.,Mkutano huu umefungwa. Rekodi zake ni za kusoma tu na ni sehemu ya kumbukumbu za ukaguzi.,Chokruokni olor. Ndiko mage gin mag somo kende kendo gin achiel kuom nonro.,,
meetingHubAllRecordsInThisMeetingWill,All records in this meeting will be locked permanently. This cannot be undone.,Rekodi zote za mkutano huu zitafungwa milele. Hili haliwezi kutenguliwa.,Ndiko duto mag chokruokni ibiro lor nyaka chiengʼ. Ma ok nyal lokre.,,
meetings3KeyUnlockIsOnOfficials,3-key unlock is on: officials confirm their PINs before the meeting opens.,Funguo 3 zimewashwa: viongozi huthibitisha PIN zao kabla mkutano kufunguliwa.,Rayaw 3 tiyo: jotelo guro PIN mag-gi kapok chokruok oyaw.,,
meetingsStartYourFirstMeetingToRecord,"Start your first meeting to record attendance, savings, fines and loans.","Anzisha mkutano wako wa kwanza ili kurekodi mahudhurio, akiba, faini na mikopo.","Chak chokruok mari mokwongo mondo indik bedo e chokruok, pesa mokan, chudo kod hola.",,
meetingsClosedMeetingsAreLockedTheirRecords,Closed meetings are locked — their records form the group\'s permanent audit trail.,Mikutano iliyofungwa imefungwa — rekodi zake ni kumbukumbu za kudumu za kikundi.,Chokruoge molor olor — ndiko mag-gi ema gin nonro mar riwruok manyaka chiengʼ.,,
sharesLedgerSharePurchasesLandHereTheMoment,Share purchases land here the moment they are recorded.,Ununuzi wa hisa huonekana hapa mara tu unaporekodiwa.,Ngʼiewo mar hisa nenore ka sano ka ondiki.,,
joinGroupYourGroupHasACodeOn,Your group has a code on its records — ask the secretary if you do not know it. Sending a request does not open the group\'s books to you; an official has to accept you first.,Kikundi chako kina msimbo kwenye rekodi zake — muulize katibu kama hukijui. Kutuma ombi hakukufungulii vitabu vya kikundi; kiongozi lazima akukubali kwanza.,Riwruok mari nigi rangʼiny e ndiko mage — penj jagoro ka ok ingʼeye. Oro kwayo ok yawni buge mag riwruok; jatelo nyaka rwaki mokwongo.,,
memberPassbookAskYourGroupToAddYou,Ask your group to add you and your savings will show up here.,Omba kikundi chako kikuongeze na akiba yako itaonekana hapa.,Kwa riwruok mari mondo omedi eka pesa mokan magi nonenre ka.,,
editMemberCorrectingASpellingOrAMistyped,"Correcting a spelling or a mistyped number. Their savings, loans and attendance stay exactly as they are.","Kurekebisha herufi au namba iliyokosewa. Akiba, mikopo na mahudhurio yao hubaki kama yalivyo.","Loso otonge kata namba mane ondik marach. Pesa mokan, hola kod bedo e chokruok mage siko kaka gin.",,
joinRequestsTheyWillNotBeAddedTo,They will not be added to the group. You can say why if you want to — it is not required.,Hataongezwa kwenye kikundi. Unaweza kueleza sababu ukitaka — si lazima.,Ok nomedi e riwruok. Inyalo wacho gimomiyo ka idwaro — ok ochuno.,,
joinRequestsThisListIsOutOfDate,"This list is out of date. Pull down to refresh, then check the answer again.","Orodha hii si ya sasa. Vuta chini ili kuonyesha upya, kisha angalia jibu tena.","Chenroni ok en mar sani. Ywa piny mondo onwo, eka ine duoko kendo.",,
joinRequestsWhenSomeoneAsksToJoinYour,"When someone asks to join your group, their request will show up here for you to answer.","Mtu akiomba kujiunga na kikundi chako, ombi lake litaonekana hapa ili ulijibu.","Ka ngʼato okwayo mondo odonji e riwruok mari, kwaye nonenre ka mondo iduok.",,
memberDetailToCreateASignInAccount,"To create a sign-in account, first back this group up to the cloud (More → Sync & Backup) while online.","Ili kutengeneza akaunti ya kuingia, kwanza hifadhi kikundi hiki kwenye wingu (Mangine → Sync & Backup) ukiwa mtandaoni.","Mondo ilos akaunt mar donjo, mokwongo kan riwruokni e bor (Mamoko → Sync & Backup) ka in gi intanet.",,
memberDetailLoansThisMemberTakesWillBe,Loans this member takes will be listed here with their live status.,Mikopo atakayochukua mwanachama huyu itaorodheshwa hapa na hali yake ya sasa.,Hola ma jamembeni biro kawo ibiro ndiki ka kaachiel gi kaka gichalo sani.,,
membersAddMembersWithTheButtonBelow,Add members with the button below — each gets an individual savings and loan profile.,Ongeza wanachama kwa kitufe kilicho chini — kila mmoja hupata rekodi yake ya akiba na mikopo.,Med jomembe gi rayaw manie piny — ngʼato ka ngʼato yudo ndiko mare owuon mar pesa mokan kod hola.,,
meetingSecurityAssignAChairpersonSecretaryAndTreasurer,"Assign a chairperson, secretary and treasurer below so three officials can unlock meetings. Until then, most members\' PINs are needed instead.","Teua mwenyekiti, katibu na mweka hazina hapa chini ili viongozi watatu waweze kufungua mikutano. Hadi hapo, PIN za wanachama wengi ndizo zitahitajika.","Yier jakom, jagoro kod jakeno e piny mondo jotelo adek onyal yawo chokruoge. Kapok mano, PIN mag jomembe mangʼeny ema dwarore.",,
meetingSecurityTheOldPinStopsWorkingThe,The old PIN stops working. The member chooses a new PIN the next time they turn their key at a meeting unlock.,PIN ya zamani huacha kufanya kazi. Mwanachama huchagua PIN mpya wakati mwingine atakapotumia ufunguo wake kufungua mkutano.,PIN machon weyo tiyo. Jamembe yiero PIN manyien kinde machielo ma otiyo gi rayaw mare e yawo chokruok.,,
moreYourGroupSSavingsAndLoans,"Your group\'s savings and loans, right on your phone. Everything is saved on this phone first and backed up online when you have internet.\n\nIntelli-Wealth Limited · intelliwealth.org","Akiba na mikopo ya kikundi chako, hapo hapo kwenye simu yako. Kila kitu huhifadhiwa kwenye simu hii kwanza, kisha hufanyiwa nakala mtandaoni ukipata intaneti.

Intelli-Wealth Limited · intelliwealth.org","Pesa mokan kod hola mag riwruok mari, e simu mari. Gimoro amora ikano e simu ni mokwongo, eka okan e intanet ka iyudo mtandao.

Intelli-Wealth Limited · intelliwealth.org",,
moreNoInternetYourRecordsAreSafe,No internet — your records are safe on this phone and will back up later.,Hakuna intaneti — rekodi zako ziko salama kwenye simu hii na zitahifadhiwa baadaye.,Onge intanet — ndiko magi ni maber e simu ni kendo ibiro kan bangʼe.,,
welcomeThePhoneAppIsForGroups,"The phone app is for groups, members and field agents. Your account does not need to create a group here — sign in on the web console instead, or sign out to use a different account.","Programu ya simu ni ya vikundi, wanachama na maafisa wa uwandani. Akaunti yako haihitaji kuunda kikundi hapa — ingia kwenye tovuti badala yake, au toka ili kutumia akaunti nyingine.","App mar simu en mar riwruoge, jomembe kod jokony mag gwengʼ. Akaunt mari ok dwar loso riwruok ka — donji e intanet kar mano, kata wuog mondo iti gi akaunt machielo.",,
welcomeYourGroupIsAlreadyOnThe,"Your group is already on the server. Load it here instead of creating a new one, so your savings history stays in one record.","Kikundi chako tayari kiko kwenye seva. Kipakie hapa badala ya kuunda kipya, ili historia ya akiba yako ibaki rekodi moja.","Riwruok mari nitie e seva. Kele ka kar loso manyien, mondo weche mag pesa mokan magi osik e ndiko achiel.",,
agentReportWhenGroupsAreAssignedToYou,"When groups are assigned to you, their report appears here.","Vikundi vikikabidhiwa kwako, ripoti yake itaonekana hapa.","Ka riwruoge omiyi, ripot mag-gi nenore ka.",,
groupReportFiguresFromThisPhoneOnlyWork,Figures from this phone only - work saved on other phones may not be included yet.,Takwimu za simu hii pekee - kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,Namba moa e simu ni kende - tich mokan e simu mamoko nyalo bedo ni pod ok oriw.,,
groupReportFromThisPhoneOnlyWorkSaved,From this phone only. Work saved on other phones may not be included yet.,Kutoka simu hii pekee. Kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,Koa e simu ni kende. Tich mokan e simu mamoko nyalo bedo ni pod ok oriw.,,
memberReportLocalFiguresFromThisPhoneOnlyRecords,Figures from this phone only - records saved elsewhere may not be included yet.,Takwimu za simu hii pekee - rekodi zilizohifadhiwa kwingine huenda bado hazijajumuishwa.,Namba moa e simu ni kende - ndiko mokan kamoro machielo nyalo bedo ni pod ok oriw.,,
mySavingsWhatYouOweIsCountedFor,What you owe is counted for each group on its own. Paying extra in one group does not reduce what you owe in another.,Deni lako huhesabiwa kwa kila kikundi peke yake. Kulipa zaidi katika kikundi kimoja hakupunguzi deni lako katika kingine.,Gopi ikwano ne riwruok ka riwruok kende. Chulo mangʼeny e riwruok achiel ok dwok piny gopi e riwruok machielo.,,
groupSyncThisClearsTheLocalBackendMapping,This clears the local↔backend mapping. Already-synced records stay on the server; nothing is deleted.,Hii huondoa uhusiano kati ya simu na seva. Rekodi zilizokwisha sawazishwa hubaki kwenye seva; hakuna kinachofutwa.,Ma golo tudruok manie kind simu kod seva. Ndiko moseriw siko e seva; onge gima iruchi.,,
groupSyncConnectToTheIntellicashBackendBefore,Connect to the IntelliCash backend before linking and syncing this group.,Unganisha kwenye seva ya IntelliCash kabla ya kuunganisha na kusawazisha kikundi hiki.,Tud gi seva mar IntelliCash kapok itudo kendo iriwo riwruokni.,,
groupSyncLinkingMatchesYourLocalMembersTo,"Linking matches your local members to the backend roster by phone, then name. Unmatched members can be linked by hand afterwards.","Kuunganisha hulinganisha wanachama wa simu hii na orodha ya seva kwa namba ya simu, kisha kwa jina. Wasiolingana wanaweza kuunganishwa kwa mkono baadaye.","Tudruok romo jomembe mag simu ni gi chenro mar seva kokalo kuom namba mar simu, eka kuom nying. Joma ok oromo inyalo tudo gi lwedo bangʼe.",,
groupSyncTheseLocalMembersHaveNoBackend,These local members have no backend match. Link them before their transactions can sync.,Wanachama hawa wa simu hii hawana wenzao kwenye seva. Waunganishe kabla miamala yao haijaweza kusawazishwa.,Jomembe mag simu ni onge gi joma romogo e seva. Tudgi kapok weche mag-gi nyalo riwore.,,
groupSyncUploadsAttendanceAndLedgerSharesSocial,"Uploads attendance and ledger (shares, social fund, loans, repayments) for every closed meeting. Safe to re-run — already synced records are skipped. Fines and meeting sealing come in a later phase.","Hupakia mahudhurio na daftari (hisa, mfuko wa jamii, mikopo, marejesho) kwa kila mkutano uliofungwa. Ni salama kurudia — rekodi zilizokwisha sawazishwa huachwa. Faini na kufunga mikutano huja katika hatua ijayo.","Oro bedo e chokruok kod bug weche (hisa, sanduk mar kony, hola, chulo) mar chokruok ka chokruok molor. Ber nwoyo — ndiko moseriw ikalo. Chudo kod loro chokruoge biro bangʼe.",,
serverSettingsAskYourGroupAdministratorForAn,"Ask your group administrator for an access key, then paste it here. It only lets this phone see and record your group\'s savings, loans and meetings.","Omba msimamizi wa kikundi chako ufunguo wa kuingia, kisha ubandike hapa. Unaruhusu simu hii kuona na kurekodi akiba, mikopo na mikutano ya kikundi chako tu.","Kwa jarit mar riwruok mari rayaw, eka iket ka. Oyie mana simu ni mondo one kendo ondik pesa mokan, hola kod chokruoge mag riwruok mari.",,
cyclesPullDownToTryAgainIf,"Pull down to try again. If it keeps happening, check the group is still selected under Cloud Account.","Vuta chini ujaribu tena. Ikiendelea, hakikisha kikundi bado kimechaguliwa chini ya Akaunti ya Wingu.","Ywa piny item kendo. Ka omedo timore, ne ka riwruok pod oyier e bwo Akaunt mar Bor.",,
cyclesClosingACycleMakesItsRecords,Closing a cycle makes its records read-only. Nothing is deleted — past meetings and money stay in history and reports.,Kufunga mzunguko hufanya rekodi zake ziwe za kusoma tu. Hakuna kinachofutwa — mikutano na fedha zilizopita hubaki kwenye historia na ripoti.,Loro ndalo miyo ndiko mage bedo mag somo kende. Onge gima iruchi — chokruoge kod pesa mokalo siko e weche machon kod ripot.,,
cyclesYouCanSeeTheCyclesBut,You can see the cycles but not close one. Only the group account or a platform admin can.,Unaweza kuona mizunguko lakini huwezi kufunga. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,Inyalo neno ndalo to ok inyal loro. Mana akaunt mar riwruok kata jarit mar platform ema nyalo.,,
groupPolicyAppliesToNewLoansLoansAlready,Applies to new loans. Loans already given keep the term they were agreed with — changing this never changes what a member already owes.,Hutumika kwa mikopo mipya. Mikopo iliyokwisha tolewa hubaki na muda iliokubaliwa — kubadilisha hili hakubadilishi deni la mwanachama.,Tiyo ne hola manyien. Hola mosechiw siko gi kinde mane oyiego — loko ma ok lok gima jamembe osegopo.,,
groupPolicyFlatOnTheAmountBorrowedEach,"Flat on the amount borrowed each month — it does not fall as the member repays, and it stops at the end of the agreed term. Zero is fine: many groups lend interest-free. Each loan keeps the rate it was made at, so changing this never reprices money already lent.","Ni kiwango kimoja juu ya kiasi kilichokopwa kila mwezi — hakipungui mwanachama anapolipa, na huisha mwisho wa muda uliokubaliwa. Sifuri ni sawa: vikundi vingi hukopesha bila riba. Kila mkopo hubaki na riba uliotolewa nayo, kwa hivyo kubadilisha hili hakubadilishi fedha zilizokwisha kopeshwa.","En pim achiel kuom pesa mane oholo dwe ka dwe — ok odok piny ka jamembe chulo, kendo orumo e giko mar kinde mane oyiego. Nono ber: riwruoge mangʼeny holo maonge ohala. Hola ka hola siko gi ohala mane ochiwego, omiyo loko ma ok lok pesa moseholi.",,
groupPolicyYouCanSeeTheseRulesBut,You can see these rules but not change them. Only the group account or a platform admin can.,Unaweza kuona sheria hizi lakini huwezi kuzibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,Inyalo neno chikegi to ok inyal lokogi. Mana akaunt mar riwruok kata jarit mar platform ema nyalo.,,
groupPolicyUnpaidFinesAndWelfareAreTaken,Unpaid fines and welfare are taken off a member\'s share-out payout — they never stop a member from sharing out.\n\nOutstanding loans are taken off at share-out and are never carried into the next cycle.,"Faini na michango ya jamii ambayo haijalipwa hukatwa kwenye mgao wa mwanachama — kamwe hazimzuii mwanachama kushiriki mgao.

Mikopo ambayo haijalipwa hukatwa wakati wa mgao na kamwe haipelekwi mzunguko unaofuata.","Chudo kod kony ma ok ochul igolo e pok mar jamembe — ok gigengʼ jamembe kuom yudo pok.

Hola ma ok ochul igolo e sa mar pogruok kendo ok ter e ndalo machielo.",,
paymentProvidersMPesaClassicNeedsNothingHere,M-Pesa Classic needs nothing here — the member types in the transaction code from their phone.,M-Pesa Classic haihitaji chochote hapa — mwanachama huandika msimbo wa muamala kutoka simu yake.,M-Pesa Classic ok dwar gimoro ka — jamembe ema ndiko rangʼiny mar wach koa e simu mare.,,
paymentProvidersYouCanSeeThisButNot,You can see this but not change it. Only the group account or a platform admin can move where money is received.,Unaweza kuona hili lakini huwezi kulibadilisha. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza kuhamisha mahali fedha zinapopokelewa.,Inyalo neno ma to ok inyal loke. Mana akaunt mar riwruok kata jarit mar platform ema nyalo loko kama pesa yudore.,,
welfareYouAreOfflineWelfarePaymentsAre,You are offline. Welfare payments are recorded on the server so the fund cannot be overspent by two phones at once — reconnect to record one.,Huna mtandao. Malipo ya jamii hurekodiwa kwenye seva ili mfuko usitumike kupita kiasi na simu mbili kwa wakati mmoja — unganisha ili kurekodi.,Ionge e mtandao. Chudo mar kony indiko e seva mondo sanduk kik ti mokalo gi simu ariyo sa achiel — tud kendo mondo indik.,,
welfareNoMeetingIsOpenWelfareIs,"No meeting is open. Welfare is paid out during a meeting, in front of the members — open one first, then record it there.","Hakuna mkutano ulio wazi. Fedha za jamii hulipwa wakati wa mkutano, mbele ya wanachama — fungua mkutano kwanza, kisha rekodi hapo.","Onge chokruok moyaw. Pesa mar kony ichulo e sa mar chokruok, e nyim jomembe — yaw chokruok mokwongo, eka indik kanyo.",,
shareOutMembersHavenTBoughtSharesThis,"Members haven\'t bought shares this cycle. Run meetings and collect shares first, then come back to distribute the fund.","Wanachama hawajanunua hisa mzunguko huu. Endesha mikutano na kusanya hisa kwanza, kisha urudi kugawanya mfuko.","Jomembe pok ongʼiewo hisa e ndaloni. Ti chokruoge kendo ichok hisa mokwongo, eka iduogi mondo ipog pesa.",,
externalLoanApplyCreditRatingUnavailableTheLenderChecks,Credit rating unavailable — the lender checks it when reviewing your application.,Kiwango cha mkopo hakipatikani — mkopeshaji hukiangalia anapopitia ombi lako.,Pim mar hola ok yudre — ngʼat maholo ema nene ka onono kwayo mari.,,
externalLoansCheckBackLaterPartnersAddNew,Check back later — partners add new loan offers from time to time.,Rudi baadaye — washirika huongeza mikopo mipya mara kwa mara.,Duogi bangʼe — joma wariwore kodgi medo hola manyien kinde ka kinde.,,
externalLoansExternalLoansLoadFromTheIntelli,External loans load from the Intelli-Cash backend. Connect or sign in first.,Mikopo ya nje hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,Hola moa oko yudore koa e seva mar Intelli-Cash. Tud kata idonji mokwongo.,,
storeFarmSolarHouseholdAndBusinessProducts,"Farm, solar, household and business products — priced by your group\'s credit rating.","Bidhaa za shamba, sola, nyumbani na biashara — bei kulingana na kiwango cha mkopo cha kikundi chako.","Gik mag puodho, chiengʼ, ot kod ohala — nengo luwore gi pim mar hola mar riwruok mari.",,
storeIntelliStoresLoadsFromTheIntelli,Intelli-Stores loads from the Intelli-Cash backend. Connect or sign in first.,Intelli-Stores hupakiwa kutoka seva ya Intelli-Cash. Unganisha au ingia kwanza.,Intelli-Stores yudore koa e seva mar Intelli-Cash. Tud kata idonji mokwongo.,,
businessProfileTheGroupSOwnEnterpriseNot,"The group\'s own enterprise, not a member\'s. Leave blank if they do not run one.","Biashara ya kikundi chenyewe, si ya mwanachama. Acha wazi kama hawana.","Ohala mar riwruok owuon, ok mar jamembe. We nono ka gionge gi moro.",,
businessProfileThisVisitHasNotSyncedYet,"This visit has not synced yet, so the figures are saved against the group but not against this visit.","Ziara hii bado haijasawazishwa, kwa hivyo takwimu zimehifadhiwa kwa kikundi lakini si kwa ziara hii.","Limbeni pok oriwore, omiyo namba okan ne riwruok to ok ne limbeni.",,
businessProfileSavedAgainstThisVisitSoNext,"Saved against this visit, so next time you can see what changed.","Imehifadhiwa kwa ziara hii, ili wakati ujao uone kilichobadilika.","Okan ne limbeni, mondo kinde machielo ine gima oselokore.",,
recordVisitAVisitCanStillBeRecorded,"A visit can still be recorded without a location. Whether it matches this group is decided by the office, not here.","Ziara bado inaweza kurekodiwa bila mahali. Kama inalingana na kikundi hiki huamuliwa na ofisi, si hapa.","Limbe pod inyalo ndiki maonge kama otimore. Ka oromo gi riwruokni ingʼado e ofis, ok ka.",,
recordVisitRecordWhatYouCoachedOnThen,"Record what you coached on, then let the group score it.","Rekodi ulichofundisha, kisha waache kikundi kikipime.","Ndik gima ne ipuonjo, eka iwe riwruok opime.",,
visitAssessmentNoAssessmentFormHasBeenDownloaded,"No assessment form has been downloaded yet. Connect once to fetch it, then it works offline.","Hakuna fomu ya tathmini iliyopakuliwa bado. Unganisha mara moja ili kuipata, kisha itafanya kazi bila mtandao.","Onge fom mar pim moseyudi. Tud dichiel mondo iyude, eka otiyo maonge mtandao.",,
