key,english,kiswahili_for_reference,Gikuyu_draft,Gikuyu_corrected,ok_as_is
recordVisitSavedOnThisPhoneFirst,"Saved on this phone first, then sent when you have signal.","Huhifadhiwa kwenye simu hii kwanza, kisha hutumwa ukipata mtandao.","Kĩigagwo thimũ-inĩ ĩno mbere, gĩcooke gĩtũmwo wagĩa na mũtandao.",,
recordVisitWhyNotOptional,Why not? (optional),Kwa nini hapana? (si lazima),Nĩkĩ gĩtirĩ? (ti bata),,
recordVisitWhatYouFound,What you found,Uliyoyakuta,Kĩrĩa wonire,,
agentHomeMyGroups,My Groups,Vikundi Vyangu,Ikundi Ciakwa,,
agentHomeCaseloadReport,Caseload report,Ripoti ya vikundi,Ripoti ya ikundi,,
agentHomeNoGroupsAssigned,No groups assigned,Hakuna kikundi ulichopewa,Gũtirĩ gĩkundi ũheetwo,,
agentHomeGroups,Groups,Vikundi,Ikundi,,
agentHomeNeedSupport,Need support,Vinahitaji msaada,Ĩrabatara ũteithio,,
loansLoanPortfolio,Loan Portfolio,Jalada la Mikopo,Ibuku rĩa Mĩkopo,,
loansActive,Active,Hai,Ĩrĩ Wĩra,,
loansSearchByMemberName,Search by member name,Tafuta kwa jina la mwanachama,Caria na rĩĩtwa rĩa mũmemba,,
loansNoLoansHere,No loans here,Hakuna mikopo hapa,Gũtirĩ mĩkopo haha,,
threeKeyUnlockUnlockMeeting,Unlock Meeting,Fungua Mkutano,Hingũra Mũcemanio,,
threeKeyUnlockVerified,Verified,Imethibitishwa,Nĩ gwĩkĩrĩtwo hinya,,
threeKeyUnlockSendANewCode,Send a new code,Tuma msimbo mpya,Tũma kĩmenyithia kĩerũ,,
threeKeyUnlockNoSmsUseMySaved,No SMS? Use my saved PIN instead,Hakuna SMS? Tumia PIN yangu iliyohifadhiwa,Gũtirĩ SMS? Hũthĩra PIN yakwa ĩrĩa ĩigĩtwo,,
threeKeyUnlockOneTimeCode,One-time code,Msimbo wa mara moja,Kĩmenyithia kĩa riita rĩmwe,,
threeKeyUnlockRepeatPin,Repeat PIN,Rudia PIN,Cookera PIN,,
memberReportMyReport,My Report,Ripoti Yangu,Ripoti Yakwa,,
memberReportShare,Share,Shiriki,Gaĩra,,
memberReportNotSignedIn,Not signed in,Hujaingia,Ndũtoonyete,,
memberReportSignInToYourAccount,Sign in to your account to see and share your report.,Ingia kwenye akaunti yako ili kuona na kushiriki ripoti yako.,Toonya akaũnti-inĩ yaku nĩguo wone na ũgaĩre ripoti yaku.,,
cloudDashboardCloudData,Cloud Data,Data ya Wingu,Ũhoro wa Matu,,
cloudDashboardRefresh,Refresh,Onyesha upya,Erũhia,,
cloudDashboardSavingsFund,Savings Fund,Mfuko wa Akiba,Mũthithũ wa Ũigi,,
cloudDashboardInternalLoans,Internal Loans,Mikopo ya Ndani,Mĩkopo ya Thĩinĩ,,
serverSettingsOrUseAGroupAccess,or use a group access key,au tumia ufunguo wa kikundi,kana hũthĩra kĩhingũro kĩa gĩkundi,,
serverSettingsViewOnlineRecords,View Online Records,Ona Rekodi za Mtandaoni,Ona Maandĩko ma Mũtandao-inĩ,,
serverSettingsBackUpThisGroup,Back Up This Group,Hifadhi Kikundi Hiki,Iga Gĩkundi Gĩkĩ,,
serverSettingsAccessKey,Access key,Ufunguo wa kuingia,Kĩhingũro,,
shareOutDistribute,Distribute,Gawanya,Gaĩra,,
shareOutFundToDistribute,Fund to distribute,Mfuko wa kugawanya,Mbeca cia kũgayanwo,,
shareOutSplitWelfareFundEqually,Split welfare fund equally,Gawanya mfuko wa jamii sawa,Gayania mũthithũ wa ũteithio o ũndũ ũmwe,,
shareOutNothingToShareOutYet,Nothing to share out yet,Hakuna cha kugawanya bado,Gũtirĩ kĩndũ gĩa kũgayanwo,,
visitAssessmentAssessment,Assessment,Tathmini,Gĩthimi,,
visitAssessmentFormNotAvailable,Form not available,Fomu haipatikani,Fomu ndĩrĩ ho,,
visitMentorshipMentorship,Mentorship,Ushauri,Ũtaari,,
visitMentorshipWhatDidYouCoachOn,What did you coach on?,Ulifundisha nini?,Nĩ ũndũ ũrĩkũ warutire?,,
visitMentorshipTapATopicToRecord,"Tap a topic to record it, then add what you advised.","Gusa mada ili kuirekodi, kisha andika ulichoshauri.","Hutia ũndũ nĩguo ũwandĩke, ũcooke wandĩke kĩrĩa wataarire.",,
visitMentorshipNowHandThePhoneTo,Now hand the phone to the group,Sasa mpe kikundi simu,Rĩu nengera gĩkundi thimũ,,
visitMentorshipWhatYouAdvised,What you advised,Ulichoshauri,Kĩrĩa wataarire,,
agentGroupDetailRecordAVisit,Record a visit,Rekodi ziara,Andĩka rũgendo,,
agentGroupDetailNoMembersLoaded,No members loaded.,Hakuna wanachama waliopakiwa.,Gũtirĩ amemba marutĩtwo.,,
agentGroupDetailNoMeetingsLoaded,No meetings loaded.,Hakuna mikutano iliyopakiwa.,Gũtirĩ mĩcemanio ĩrutĩtwo.,,
agentGroupDetailToImprove,To improve,Ya kuboresha,Cia kwagĩrithia,,
agentGroupDetailGovernance,Governance,Uongozi,Ũtongoria,,
agentGroupDetailVslaCompliance,VSLA compliance,Ufuataji wa kanuni za VSLA,Kũrũmĩrĩra mawatho ma VSLA,,
recordFineReason,Reason,Sababu,Gĩtũmi,,
recordFineSpecifyReason,Specify reason,Eleza sababu,Taarĩria gĩtũmi,,
addMemberAddMember,Add Member,Ongeza Mwanachama,Ongerera Mũmemba,,
addMemberRegisterMember,Register Member,Sajili Mwanachama,Andĩkithia Mũmemba,,
addMemberFullName,Full Name,Jina Kamili,Rĩĩtwa Rĩothe,,
addMemberPhoneOptional,Phone (optional),Simu (si lazima),Thimũ (ti bata),,
addMemberRole,Role,Nafasi,Nafathi,,
editMemberEditMember,Edit member,Badilisha mwanachama,Garũra mũmemba,,
editMemberFullName,Full name,Jina kamili,Rĩĩtwa rĩothe,,
membersRequestsToJoin,Requests to join,Maombi ya kujiunga,Mahooya ma kwĩyũnganĩria,,
membersSearchMembers,Search members,Tafuta wanachama,Caria amemba,,
membersNoMembersFound,No members found,Hakuna mwanachama aliyepatikana,Gũtirĩ mũmemba wonekire,,
meetingSecurity3KeyUnlockBeforeMeetings,3-key unlock before meetings,Funguo 3 kabla ya mikutano,Cabi 3 mbere ya mĩcemanio,,
meetingSecurityKeepPin,Keep PIN,Baki na PIN,Tiga PIN,,
meetingSecurityReset,Reset,Weka upya,Cookia rĩngĩ,,
agentReportCaseloadReport,Caseload Report,Ripoti ya Vikundi,Ripoti ya Ikundi,,
agentReportShareReport,Share Report,Shiriki Ripoti,Gaĩra Ripoti,,
agentReportNeedsSupport,Needs support,Kinahitaji msaada,Ĩrabatara ũteithio,,
agentReportNoRating,No rating,Hakuna kiwango,Gũtirĩ gĩthimi,,
agentReportNoGroupsYet,No groups yet,Hakuna vikundi bado,Gũtirĩ ikundi,,
groupReportNoGroupYet,No group yet,Hakuna kikundi bado,Gũtirĩ gĩkundi,,
groupReportSetUpYourGroupFirst,"Set up your group first, then come back for a report.","Sajili kikundi chako kwanza, kisha urudi kwa ripoti.","Thondeka gĩkundi gĩaku mbere, ũcooke ũũke kũrĩ ripoti.",,
groupReportNoMembersYet,No members yet,Hakuna wanachama bado,Gũtirĩ amemba,,
groupReportMembersAppearHereOnceThey,Members appear here once they join the group.,Wanachama huonekana hapa wanapojiunga na kikundi.,Amemba monekaga haha maarĩkia kwĩyũnganĩria na gĩkundi.,,
memberReportLocalMemberReport,Member Report,Ripoti ya Mwanachama,Ripoti ya Mũmemba,,
memberReportLocalMemberNotFound,Member not found,Mwanachama hakupatikana,Mũmemba ndonekire,,
memberReportLocalThisMemberIsNoLonger,This member is no longer in the group.,Mwanachama huyu hayupo tena kwenye kikundi.,Mũmemba ũyũ ndarĩ gĩkundi-inĩ rĩngĩ.,,
memberReportLocalLoansThisMemberTakesWill,Loans this member takes will appear here.,Mikopo atakayochukua mwanachama huyu itaonekana hapa.,Mĩkopo ĩrĩa mũmemba ũyũ akoya nĩĩkonekaga haha.,,
externalLoanApplyApplyForALoan,Apply for a Loan,Omba Mkopo,Hooya Mũkopo,,
externalLoanApplySubmitApplication,Submit Application,Wasilisha Ombi,Tũma Ihooya,,
externalLoanApplyWhatIsTheLoanFor,What is the loan for?,Mkopo ni wa nini?,Mũkopo nĩ wa ũndũ ũrĩkũ?,,
externalLoanApplyEGBuyingMaizeSeed,e.g. Buying maize seed for the season,mfano: kununua mbegu za mahindi kwa msimu,ta: kũgũra mbegũ cia mbembe cia kĩmera,,
meetingsNoMeetingsYet,No meetings yet,Hakuna mikutano bado,Gũtirĩ mĩcemanio,,
repaymentRecordRepayment,Record Repayment,Rekodi Marejesho,Andĩka Irĩhi,,
repaymentNoOutstandingLoansNothingTo,No outstanding loans — nothing to repay. 🎉,Hakuna mkopo unaodaiwa — hakuna cha kurejesha. 🎉,Gũtirĩ mũkopo ũrĩ na thiirĩ — gũtirĩ kĩa kũrĩhwo. 🎉,,
repaymentSelectLoan,Select Loan,Chagua Mkopo,Thuura Mũkopo,,
moreWhoIsSignedInLanguage,"Who is signed in, language, appearance and app details","Aliyeingia, lugha, mwonekano na maelezo ya programu","Ũrĩa ũtoonyete, rũthiomi, mũonekere na ũhoro wa app",,
moreIntelliCash,Intelli-Cash,Intelli-Cash,Intelli-Cash,,
mySavingsMySavings,My Savings,Akiba Yangu,Ũigi Wakwa,,
mySavingsOnceAGroupAcceptsYou,"Once a group accepts you, your savings will show here.","Kikundi kikikukubali, akiba yako itaonekana hapa.","Gĩkundi kĩngĩgwĩtĩkĩra, ũigi waku nĩũkonekaga haha.",,
buySharesEnterCodeByHand,Enter Code by Hand,Weka Msimbo kwa Mkono,Andĩka Kĩmenyithia na Guoko,,
buySharesRecordPurchase,Record Purchase,Rekodi Ununuzi,Andĩka Ũgũri,,
sharesLedgerNoPurchasesYet,No purchases yet,Hakuna ununuzi bado,Gũtirĩ ũgũri,,
socialFundThisMeetingIsClosedThe,This meeting is closed — the record is read-only.,Mkutano huu umefungwa — rekodi ni ya kusoma tu.,Mũcemanio ũyũ nĩmũhinge — maandĩko no ma gũthomwo tu.,,
socialFundNoMembers,No members,Hakuna wanachama,Gũtirĩ amemba,,
socialFundAddMembersToTheGroup,Add members to the group first.,Ongeza wanachama kwenye kikundi kwanza.,Ongerera amemba gĩkundi-inĩ mbere.,,
welcomeUseTheWebConsoleFor,Use the web console for this account,Tumia tovuti kwa akaunti hii,Hũthĩra ĩntaneti kũrĩ akaũnti ĩno,,
welcomeLoadYourGroupOntoThis,Load your group onto this phone,Pakia kikundi chako kwenye simu hii,Ruta gĩkundi gĩaku thimũ-inĩ ĩno,,
memberReportsTapAMemberToSee,Tap a member to see and share their report.,Gusa mwanachama ili kuona na kushiriki ripoti yake.,Hutia mũmemba nĩguo wone na ũgaĩre ripoti yake.,,
openActionItemsNothingOutstanding,Nothing outstanding,Hakuna lililobaki,Gũtirĩ kĩrĩa gĩtigarĩte,,
openActionItemsThisGroupHasNoOpen,This group has no open actions from previous visits.,Kikundi hiki hakina kazi zilizobaki kutoka ziara zilizopita.,Gĩkundi gĩkĩ gĩtirĩ na wĩra ũtigarĩte kuuma ngendo iria ciathirire.,,
openActionItemsFromTheLastVisit,From the last visit,Kutoka ziara iliyopita,Kuuma rũgendo rũrĩa rwa mũico,,
loanDetailNoRepaymentsYet,No repayments yet,Hakuna marejesho bado,Gũtirĩ marĩhi,,
attendanceAttendance,Attendance,Mahudhurio,Ũkinyu,,
attendanceContinueToMeeting,Continue to Meeting,Endelea kwenye Mkutano,Thiĩ na mbere Mũcemanio-inĩ,,
appearanceChooseHowIntelliCashLooks,Choose how Intelli-Cash looks on this phone.,Chagua jinsi Intelli-Cash inavyoonekana kwenye simu hii.,Thuura ũrĩa Intelli-Cash ĩkuoneka thimũ-inĩ ĩno.,,
gatewayPaymentOpenThisLinkToPay,Open this link to pay:,Fungua kiungo hiki kulipa:,Hingũra kĩohanio gĩkĩ ũrĩhe:,,
numericKeypadDelete,Delete,Futa,Theria,,
agentHomeWhenGroupsAreAssignedToYou,"When groups are assigned to you, they appear here with their credit rating.","Vikundi vikikabidhiwa kwako, vitaonekana hapa pamoja na kiwango chao cha mkopo.","Ikundi ciangĩneanwo kũrĩ we, nĩikonekaga haha hamwe na gĩthimi kĩao kĩa mũkopo.",,
dashboardTheSavingsCurveAppearsAfterYour,The savings curve appears after your first two meetings.,Mchoro wa akiba huonekana baada ya mikutano yako miwili ya kwanza.,Mũharo wa ũigi ũronekaga thutha wa mĩcemanio yaku ĩĩrĩ ya mbere.,,
disburseLoanThisMemberHasNoBorrowingHeadroom,This member has no borrowing headroom — savings must grow or the current loan must reduce first.,Mwanachama huyu hana nafasi ya kukopa — akiba lazima iongezeke au mkopo wa sasa upungue kwanza.,Mũmemba ũyũ ndarĩ na ũhoti wa kũhooya mũkopo — ũigi no mũhaka wongerereke kana mũkopo ũrĩa arĩ naguo ũnyihanyiihe mbere.,,
disburseLoanTheLoanFundIsEmptyCollect,The loan fund is empty. Collect share purchases or loan repayments before lending again.,Mfuko wa mikopo ni tupu. Kusanya ununuzi wa hisa au marejesho ya mikopo kabla ya kukopesha tena.,Mũthithũ wa mĩkopo nĩ ũtheri. Ũnganĩria ũgũri wa hisa kana marĩhi ma mĩkopo mbere ya gũkombithania rĩngĩ.,,
loanDetailRepaymentsAreRecordedInsideMeetingsAnd,Repayments are recorded inside meetings and appear here instantly.,Marejesho hurekodiwa ndani ya mikutano na huonekana hapa mara moja.,Marĩhi mandĩkagwo thĩinĩ wa mĩcemanio na monekaga haha o rĩmwe.,,
loansLoansAreDisbursedInsideAMeeting,Loans are disbursed inside a meeting — open a meeting and use Disburse Loan.,Mikopo hutolewa ndani ya mkutano — fungua mkutano kisha tumia Toa Mkopo.,Mĩkopo ĩheanagwo thĩinĩ wa mũcemanio — hingũra mũcemanio ũcooke ũhũthĩre Heana Mũkopo.,,
gatewayPaymentRequestSentAskTheMemberTo,Request sent. Ask the member to enter their M-Pesa PIN on their phone.,Ombi limetumwa. Mwambie mwanachama aweke PIN yake ya M-Pesa kwenye simu yake.,Ihooya nĩrĩatũmwo. Ĩra mũmemba ekĩre PIN yake ya M-Pesa thimũ-inĩ yake.,,
meetingHubThisMeetingIsClosedItsRecords,This meeting is closed. Its records are read-only and form part of the audit trail.,Mkutano huu umefungwa. Rekodi zake ni za kusoma tu na ni sehemu ya kumbukumbu za ukaguzi.,Mũcemanio ũyũ nĩmũhinge. Maandĩko maguo no ma gũthomwo tu na nĩ gĩcunjĩ kĩa ũrorio.,,
meetingHubAllRecordsInThisMeetingWill,All records in this meeting will be locked permanently. This cannot be undone.,Rekodi zote za mkutano huu zitafungwa milele. Hili haliwezi kutenguliwa.,Maandĩko mothe ma mũcemanio ũyũ nĩmakũhingwo nginya tene. Ũndũ ũyũ ndũngĩcookererio.,,
meetings3KeyUnlockIsOnOfficials,3-key unlock is on: officials confirm their PINs before the meeting opens.,Funguo 3 zimewashwa: viongozi huthibitisha PIN zao kabla mkutano kufunguliwa.,Cabi 3 nĩ ciarutithio wĩra: atongoria nĩmakũhingĩria PIN ciao mbere ya mũcemanio kũhingũrwo.,,
meetingsStartYourFirstMeetingToRecord,"Start your first meeting to record attendance, savings, fines and loans.","Anzisha mkutano wako wa kwanza ili kurekodi mahudhurio, akiba, faini na mikopo.","Ambĩrĩria mũcemanio waku wa mbere nĩguo wandĩke ũkinyu, ũigi, faini na mĩkopo.",,
meetingsClosedMeetingsAreLockedTheirRecords,Closed meetings are locked — their records form the group\'s permanent audit trail.,Mikutano iliyofungwa imefungwa — rekodi zake ni kumbukumbu za kudumu za kikundi.,Mĩcemanio ĩrĩa ĩhinge nĩ ĩhingĩre — maandĩko mayo nĩmo ũrorio wa gĩkundi wa nginya tene.,,
sharesLedgerSharePurchasesLandHereTheMoment,Share purchases land here the moment they are recorded.,Ununuzi wa hisa huonekana hapa mara tu unaporekodiwa.,Ũgũri wa hisa ũronekaga haha o rĩrĩa wandĩkwo.,,
joinGroupYourGroupHasACodeOn,Your group has a code on its records — ask the secretary if you do not know it. Sending a request does not open the group\'s books to you; an official has to accept you first.,Kikundi chako kina msimbo kwenye rekodi zake — muulize katibu kama hukijui. Kutuma ombi hakukufungulii vitabu vya kikundi; kiongozi lazima akukubali kwanza.,Gĩkundi gĩaku kĩrĩ na kĩmenyithia maandĩko-inĩ makĩo — ũria mwandĩki angĩkorũo ndũũĩ. Gũtũma ihooya gũtikũhingũragĩra mabuku ma gĩkundi; mũtongoria no mũhaka akwĩtĩkĩre mbere.,,
memberPassbookAskYourGroupToAddYou,Ask your group to add you and your savings will show up here.,Omba kikundi chako kikuongeze na akiba yako itaonekana hapa.,Hooya gĩkundi gĩaku gĩkuongerere na ũigi waku nĩũkonekaga haha.,,
editMemberCorrectingASpellingOrAMistyped,"Correcting a spelling or a mistyped number. Their savings, loans and attendance stay exactly as they are.","Kurekebisha herufi au namba iliyokosewa. Akiba, mikopo na mahudhurio yao hubaki kama yalivyo.","Kũrũngĩrĩria ndemwa kana namba ĩrĩa ĩhĩtĩtie. Ũigi, mĩkopo na ũkinyu wake ũtigwo o ũrĩa ũrĩ.",,
joinRequestsTheyWillNotBeAddedTo,They will not be added to the group. You can say why if you want to — it is not required.,Hataongezwa kwenye kikundi. Unaweza kueleza sababu ukitaka — si lazima.,Ndegũongererwo gĩkundi-inĩ. No woige gĩtũmi ũngĩenda — ti bata.,,
joinRequestsThisListIsOutOfDate,"This list is out of date. Pull down to refresh, then check the answer again.","Orodha hii si ya sasa. Vuta chini ili kuonyesha upya, kisha angalia jibu tena.","Rũtaratara rũrũ ti rwa rĩu. Guucia na thĩ nĩguo rwerũhio, ũcooke ũrore macookio rĩngĩ.",,
joinRequestsWhenSomeoneAsksToJoinYour,"When someone asks to join your group, their request will show up here for you to answer.","Mtu akiomba kujiunga na kikundi chako, ombi lake litaonekana hapa ili ulijibu.","Mũndũ angĩhooya kwĩyũnganĩria na gĩkundi gĩaku, ihooya rĩake nĩrĩkonekaga haha nĩguo ũrĩcookerie.",,
memberDetailToCreateASignInAccount,"To create a sign-in account, first back this group up to the cloud (More → Sync & Backup) while online.","Ili kutengeneza akaunti ya kuingia, kwanza hifadhi kikundi hiki kwenye wingu (Mangine → Sync & Backup) ukiwa mtandaoni.","Nĩguo ũthondeke akaũnti ya gũtoonya, amba wĩgĩe gĩkundi gĩkĩ matu-inĩ (Mangĩ → Sync & Backup) ũrĩ na ĩntaneti.",,
memberDetailLoansThisMemberTakesWillBe,Loans this member takes will be listed here with their live status.,Mikopo atakayochukua mwanachama huyu itaorodheshwa hapa na hali yake ya sasa.,Mĩkopo ĩrĩa mũmemba ũyũ akoya nĩĩkwandĩkwo haha hamwe na ũrĩa ĩhaana.,,
membersAddMembersWithTheButtonBelow,Add members with the button below — each gets an individual savings and loan profile.,Ongeza wanachama kwa kitufe kilicho chini — kila mmoja hupata rekodi yake ya akiba na mikopo.,Ongerera amemba na batani ĩrĩa ĩrĩ na thĩ — o ũmwe agĩaga na maandĩko make ma ũigi na mĩkopo.,,
meetingSecurityAssignAChairpersonSecretaryAndTreasurer,"Assign a chairperson, secretary and treasurer below so three officials can unlock meetings. Until then, most members\' PINs are needed instead.","Teua mwenyekiti, katibu na mweka hazina hapa chini ili viongozi watatu waweze kufungua mikutano. Hadi hapo, PIN za wanachama wengi ndizo zitahitajika.","Thuura mũtongoria, mwandĩki na mũigi mbeca haha na thĩ nĩguo atongoria atatũ mahote kũhingũra mĩcemanio. Nginya hĩndĩ ĩyo, PIN cia amemba aingĩ nĩcio ikũbatarania.",,
meetingSecurityTheOldPinStopsWorkingThe,The old PIN stops working. The member chooses a new PIN the next time they turn their key at a meeting unlock.,PIN ya zamani huacha kufanya kazi. Mwanachama huchagua PIN mpya wakati mwingine atakapotumia ufunguo wake kufungua mkutano.,PIN ya tene ĩtigaga kũruta wĩra. Mũmemba athuuraga PIN njerũ hĩndĩ ĩrĩa akũhũthĩra cabi yake kũhingũra mũcemanio.,,
moreYourGroupSSavingsAndLoans,"Your group\'s savings and loans, right on your phone. Everything is saved on this phone first and backed up online when you have internet.\n\nIntelli-Wealth Limited · intelliwealth.org","Akiba na mikopo ya kikundi chako, hapo hapo kwenye simu yako. Kila kitu huhifadhiwa kwenye simu hii kwanza, kisha hufanyiwa nakala mtandaoni ukipata intaneti.

Intelli-Wealth Limited · intelliwealth.org","Ũigi na mĩkopo ya gĩkundi gĩaku, o thimũ-inĩ yaku. Kĩndũ o gĩothe kĩigagwo thimũ-inĩ ĩno mbere, gĩcooke kĩigwo ĩntaneti-inĩ wagĩa na mũtandao.

Intelli-Wealth Limited · intelliwealth.org",,
moreNoInternetYourRecordsAreSafe,No internet — your records are safe on this phone and will back up later.,Hakuna intaneti — rekodi zako ziko salama kwenye simu hii na zitahifadhiwa baadaye.,Gũtirĩ ĩntaneti — maandĩko maku marĩ mũgitĩre thimũ-inĩ ĩno na nĩmakũigwo thutha-inĩ.,,
welcomeThePhoneAppIsForGroups,"The phone app is for groups, members and field agents. Your account does not need to create a group here — sign in on the web console instead, or sign out to use a different account.","Programu ya simu ni ya vikundi, wanachama na maafisa wa uwandani. Akaunti yako haihitaji kuunda kikundi hapa — ingia kwenye tovuti badala yake, au toka ili kutumia akaunti nyingine.","App ya thimũ nĩ ya ikundi, amemba na arũgamĩrĩri a mũgũnda. Akaũnti yaku ndĩbataire gũthondeka gĩkundi haha — toonya ĩntaneti-inĩ handũ ha ũguo, kana uma nĩguo ũhũthĩre akaũnti ĩngĩ.",,
welcomeYourGroupIsAlreadyOnThe,"Your group is already on the server. Load it here instead of creating a new one, so your savings history stays in one record.","Kikundi chako tayari kiko kwenye seva. Kipakie hapa badala ya kuunda kipya, ili historia ya akiba yako ibaki rekodi moja.","Gĩkundi gĩaku nĩ kĩrĩ cheba-inĩ. Kĩrute haha handũ ha gũthondeka kĩngĩ, nĩguo ũhoro wa ũigi waku ũtige ũrĩ handũ hamwe.",,
agentReportWhenGroupsAreAssignedToYou,"When groups are assigned to you, their report appears here.","Vikundi vikikabidhiwa kwako, ripoti yake itaonekana hapa.","Ikundi ciangĩneanwo kũrĩ we, ripoti yacio nĩyonekaga haha.",,
groupReportFiguresFromThisPhoneOnlyWork,Figures from this phone only - work saved on other phones may not be included yet.,Takwimu za simu hii pekee - kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,Namba cia thimũ ĩno tu - wĩra ũrĩa ũigĩtwo thimũ ingĩ no ũkorũo ũtarĩ thĩinĩ.,,
groupReportFromThisPhoneOnlyWorkSaved,From this phone only. Work saved on other phones may not be included yet.,Kutoka simu hii pekee. Kazi iliyohifadhiwa kwenye simu nyingine huenda bado haijajumuishwa.,Kuuma thimũ ĩno tu. Wĩra ũrĩa ũigĩtwo thimũ ingĩ no ũkorũo ũtarĩ thĩinĩ.,,
memberReportLocalFiguresFromThisPhoneOnlyRecords,Figures from this phone only - records saved elsewhere may not be included yet.,Takwimu za simu hii pekee - rekodi zilizohifadhiwa kwingine huenda bado hazijajumuishwa.,Namba cia thimũ ĩno tu - maandĩko marĩa maigĩtwo kũndũ kũngĩ no makorũo matarĩ thĩinĩ.,,
mySavingsWhatYouOweIsCountedFor,What you owe is counted for each group on its own. Paying extra in one group does not reduce what you owe in another.,Deni lako huhesabiwa kwa kila kikundi peke yake. Kulipa zaidi katika kikundi kimoja hakupunguzi deni lako katika kingine.,Thiirĩ waku ũtaragwo o gĩkundi kĩrĩ kĩnyiki. Kũrĩha makĩria gĩkundi-inĩ kĩmwe gũtinyihagia thiirĩ waku gĩkundi-inĩ kĩngĩ.,,
groupSyncThisClearsTheLocalBackendMapping,This clears the local↔backend mapping. Already-synced records stay on the server; nothing is deleted.,Hii huondoa uhusiano kati ya simu na seva. Rekodi zilizokwisha sawazishwa hubaki kwenye seva; hakuna kinachofutwa.,Ũndũ ũyũ nĩũtheragia kĩohanio gatagatĩ ka thimũ na cheba. Maandĩko marĩa marĩkĩtie kũiganania matigagwo cheba-inĩ; gũtirĩ kĩndũ gĩgũtherio.,,
groupSyncConnectToTheIntellicashBackendBefore,Connect to the IntelliCash backend before linking and syncing this group.,Unganisha kwenye seva ya IntelliCash kabla ya kuunganisha na kusawazisha kikundi hiki.,Ohania na cheba ya IntelliCash mbere ya kuohania na kũiganania gĩkundi gĩkĩ.,,
groupSyncLinkingMatchesYourLocalMembersTo,"Linking matches your local members to the backend roster by phone, then name. Unmatched members can be linked by hand afterwards.","Kuunganisha hulinganisha wanachama wa simu hii na orodha ya seva kwa namba ya simu, kisha kwa jina. Wasiolingana wanaweza kuunganishwa kwa mkono baadaye.","Kuohania kũringithanagia amemba a thimũ ĩno na rũtaratara rwa cheba na namba ya thimũ, gũcooka na rĩĩtwa. Arĩa matarĩngithanie no maohanio na guoko thutha-inĩ.",,
groupSyncTheseLocalMembersHaveNoBackend,These local members have no backend match. Link them before their transactions can sync.,Wanachama hawa wa simu hii hawana wenzao kwenye seva. Waunganishe kabla miamala yao haijaweza kusawazishwa.,Amemba aya a thimũ ĩno matirĩ arĩa maringaine nao cheba-inĩ. Maohanie mbere ya maũndũ mao kũiganania.,,
groupSyncUploadsAttendanceAndLedgerSharesSocial,"Uploads attendance and ledger (shares, social fund, loans, repayments) for every closed meeting. Safe to re-run — already synced records are skipped. Fines and meeting sealing come in a later phase.","Hupakia mahudhurio na daftari (hisa, mfuko wa jamii, mikopo, marejesho) kwa kila mkutano uliofungwa. Ni salama kurudia — rekodi zilizokwisha sawazishwa huachwa. Faini na kufunga mikutano huja katika hatua ijayo.","Ĩtwaraga ũkinyu na ibuku (hisa, mũthithũ wa ũteithio, mĩkopo, marĩhi) rĩa o mũcemanio ũrĩa ũhinge. Nĩ mwega gũcookera — maandĩko marĩa marĩkĩtie kũiganania nĩmatigagwo. Faini na kũhinga mĩcemanio ikinyaga thutha-inĩ.",,
serverSettingsAskYourGroupAdministratorForAn,"Ask your group administrator for an access key, then paste it here. It only lets this phone see and record your group\'s savings, loans and meetings.","Omba msimamizi wa kikundi chako ufunguo wa kuingia, kisha ubandike hapa. Unaruhusu simu hii kuona na kurekodi akiba, mikopo na mikutano ya kikundi chako tu.","Hooya mũrori wa gĩkundi gĩaku kĩhingũro, ũcooke ũgĩkĩre haha. Kĩrekagĩria thimũ ĩno kuona na kwandĩka ũigi, mĩkopo na mĩcemanio ya gĩkundi gĩaku tu.",,
cyclesPullDownToTryAgainIf,"Pull down to try again. If it keeps happening, check the group is still selected under Cloud Account.","Vuta chini ujaribu tena. Ikiendelea, hakikisha kikundi bado kimechaguliwa chini ya Akaunti ya Wingu.","Guucia na thĩ ũgerie rĩngĩ. Ũngĩthiĩ na mbere, rora kana gĩkundi no kĩthuurĩtwo harĩ Akaũnti ya Matu.",,
cyclesClosingACycleMakesItsRecords,Closing a cycle makes its records read-only. Nothing is deleted — past meetings and money stay in history and reports.,Kufunga mzunguko hufanya rekodi zake ziwe za kusoma tu. Hakuna kinachofutwa — mikutano na fedha zilizopita hubaki kwenye historia na ripoti.,Kũhinga mũthiũrũrũko gũtũmaga maandĩko maguo makorũo ma gũthomwo tu. Gũtirĩ kĩndũ gĩgũtherio — mĩcemanio na mbeca cia tene itigagwo ũhoro-inĩ na ripoti-inĩ.,,
cyclesYouCanSeeTheCyclesBut,You can see the cycles but not close one. Only the group account or a platform admin can.,Unaweza kuona mizunguko lakini huwezi kufunga. Ni akaunti ya kikundi au msimamizi wa jukwaa pekee anayeweza.,No wone mĩthiũrũrũko no ndũngĩhota kũhinga. Nĩ akaũnti ya gĩkundi kana mũrori wa kĩoneki tu ũngĩhota.,,
